fund_code,report_date,as_value,source,num_holdings,report_quarter
7049,2022-12-31,0.9566666666666668,full,44,2022Q4
7049,2023-06-30,0.9766666666666668,full,47,2023Q2
7049,2023-12-31,0.95,full,33,2023Q4
7049,2024-06-30,0.9666666666666666,full,23,2024Q2
7049,2024-12-31,0.9933333333333334,full,22,2024Q4
7113,2020-06-30,0.9466982639258708,full,42,2020Q2
7113,2020-12-31,0.9376709401709402,full,81,2020Q4
7113,2021-06-30,0.9462372978388436,full,80,2021Q2
7113,2021-12-31,0.9115367916760237,full,84,2021Q4
7113,2022-06-30,0.91,full,119,2022Q2
7113,2022-12-31,0.9278727930227612,full,149,2022Q4
7113,2023-06-30,0.926454869568287,full,157,2023Q2
7113,2023-12-31,0.9532270746998195,full,159,2023Q4
7113,2024-06-30,0.9400000000000001,full,49,2024Q2
7113,2024-12-31,0.9665570175438597,full,72,2024Q4
7114,2020-06-30,0.9466982639258708,full,42,2020Q2
7114,2020-12-31,0.9376709401709402,full,81,2020Q4
7114,2021-06-30,0.9462372978388436,full,80,2021Q2
7114,2021-12-31,0.9115367916760237,full,84,2021Q4
7114,2022-06-30,0.91,full,119,2022Q2
7114,2022-12-31,0.9278727930227612,full,149,2022Q4
7114,2023-06-30,0.926454869568287,full,157,2023Q2
7114,2023-12-31,0.9532270746998195,full,159,2023Q4
7114,2024-06-30,0.9400000000000001,full,49,2024Q2
7114,2024-12-31,0.9665570175438597,full,72,2024Q4
7340,2020-06-30,0.98,full,43,2020Q2
7340,2020-12-31,0.9396641289744738,full,79,2020Q4
7340,2021-06-30,0.9498942694015649,full,115,2021Q2
7340,2021-12-31,0.9620203662833469,full,126,2021Q4
7340,2022-06-30,0.9577096739011888,full,89,2022Q2
7340,2022-12-31,0.9757731114337839,full,96,2022Q4
7340,2023-06-30,0.9551045153611544,full,112,2023Q2
7340,2023-12-31,0.9472494223786996,full,147,2023Q4
7340,2024-06-30,0.9280754121232149,full,68,2024Q2
7340,2024-12-31,0.9466666666666667,full,48,2024Q4
7341,2020-06-30,0.98,full,43,2020Q2
7341,2020-12-31,0.9396641289744738,full,79,2020Q4
7341,2021-06-30,0.9498942694015649,full,115,2021Q2
7341,2021-12-31,0.9620203662833469,full,126,2021Q4
7341,2022-06-30,0.9577096739011888,full,89,2022Q2
7341,2022-12-31,0.9757731114337839,full,96,2022Q4
7341,2023-06-30,0.9551045153611544,full,112,2023Q2
7341,2023-12-31,0.9472494223786996,full,147,2023Q4
7341,2024-06-30,0.9280754121232149,full,68,2024Q2
7341,2024-12-31,0.9466666666666667,full,48,2024Q4
7343,2020-06-30,0.9721467098166128,full,65,2020Q2
7343,2020-12-31,0.966133105680646,full,84,2020Q4
7343,2021-06-30,0.9633333333333334,full,130,2021Q2
7343,2021-12-31,0.97,full,228,2021Q4
7343,2022-06-30,0.966392740390035,full,297,2022Q2
7343,2022-12-31,0.9533613018052377,full,171,2022Q4
7343,2023-06-30,0.9715948154409695,full,229,2023Q2
7343,2023-12-31,0.977530421326581,full,295,2023Q4
7343,2024-06-30,0.9719556309170553,full,295,2024Q2
7343,2024-12-31,0.9833333333333334,full,21,2024Q4
7346,2020-06-30,0.9733333333333334,full,42,2020Q2
7346,2020-12-31,0.9759991099243437,full,71,2020Q4
7346,2021-06-30,0.9764508936598698,full,93,2021Q2
7346,2021-12-31,0.9633333333333334,full,96,2021Q4
7346,2022-06-30,0.9501801801801802,full,96,2022Q2
7346,2022-12-31,0.9627398182430159,full,125,2022Q4
