fund_code,report_date,ici_value,num_industries
161810,2024-03-31,0.44685361268184903,8
161810,2024-06-30,0.7340526200490896,7
161810,2024-09-30,0.7944979356865303,7
161810,2024-12-31,0.7638710534046899,6
161903,2024-03-31,0.11459751545095127,4
161903,2024-06-30,0.21099401610027355,4
161903,2024-09-30,0.26162221324674245,3
161903,2024-12-31,0.23348307077670158,4
162006,2024-03-31,0.048274228065051265,6
162006,2024-06-30,0.0827140888567525,4
162006,2024-09-30,0.12198799167520541,5
162006,2024-12-31,0.11814718816363902,3
162201,2024-03-31,0.11344612525562824,3
162201,2024-06-30,0.1291221178290564,2
162201,2024-09-30,0.11618242858442356,3
162201,2024-12-31,0.07326480408373989,2
162204,2024-03-31,0.04821089034579654,9
162204,2024-06-30,0.06301269917846578,9
162204,2024-09-30,0.05649006669635404,8
162204,2024-12-31,0.08659599269611275,10
162209,2024-03-31,0.41458232941862805,7
162209,2024-06-30,0.4085748708272552,7
162209,2024-09-30,0.4172041962915328,7
162209,2024-12-31,0.42320329127018547,10
162214,2024-03-31,0.04066787892440038,2
162214,2024-06-30,0.038914482137540146,2
162214,2024-09-30,0.04156521294932055,2
162214,2024-12-31,0.04159338158902791,2
162703,2024-03-31,0.11771103931447635,2
162703,2024-06-30,0.11455597745856003,1
162703,2024-09-30,0.11455597745856003,1
162703,2024-12-31,0.11455597745856003,1
163402,2024-03-31,0.01768604701389764,11
163402,2024-06-30,0.012290877112535828,10
163402,2024-09-30,0.040641567249432006,9
163402,2024-12-31,0.016794194294396457,11
163406,2024-03-31,0.046825523302000384,6
163406,2024-06-30,0.03552335357823978,7
163406,2024-09-30,0.04196700837653791,7
163406,2024-12-31,0.03459014609026354,7
163411,2024-03-31,0.0063633131985718116,12
163411,2024-06-30,0.006123964326670959,10
163411,2024-09-30,0.008636196080077452,11
163411,2024-12-31,0.024506853962296838,11
163412,2024-03-31,0.028625350427861313,9
163412,2024-06-30,0.019011555897525817,7
163412,2024-09-30,0.07027670832329201,6
163412,2024-12-31,0.012342011824439668,10
166001,2024-03-31,0.03283504185805209,12
166001,2024-06-30,0.026283685955624875,10
166001,2024-09-30,0.01789119411587589,10
166001,2024-12-31,0.00990163323375111,13
166005,2024-03-31,0.0294484874970759,15
166005,2024-06-30,0.03032048885186472,13
166005,2024-09-30,0.03643101883977896,13
166005,2024-12-31,0.0347461387372387,13
168002,2024-03-31,0.06476085057265767,3
168002,2024-06-30,0.04651347113602133,4
168002,2024-09-30,0.11455597745856003,1
168002,2024-12-31,0.05383341147607839,3
180031,2024-03-31,0.03451643184634005,7
180031,2024-06-30,0.044636125696049585,4
180031,2024-09-30,0.0930578357522624,2
180031,2024-12-31,0.09207316137479192,3
200012,2024-03-31,0.05190401537554956,7
200012,2024-06-30,0.0226704456884765,6
200012,2024-09-30,0.03217116055213121,5
200012,2024-12-31,0.11778204427918741,3
202001,2024-03-31,0.004328734847746167,10
202001,2024-06-30,0.005265668079670379,8
202001,2024-09-30,0.006066312351012291,8
202001,2024-12-31,0.02295491347070272,9
202002,2024-03-31,0.004383852382159541,11
202002,2024-06-30,0.005214766960120828,8
202002,2024-09-30,0.005987480362954599,8
202002,2024-12-31,0.022708164015689734,9
202027,2024-03-31,0.06379035630989295,5
202027,2024-06-30,0.03271225987642885,6
202027,2024-09-30,0.03490052215163005,6
202027,2024-12-31,0.0781416728878592,4
206009,2024-03-31,0.033901715595357935,5
206009,2024-06-30,0.023355921560677145,4
206009,2024-09-30,0.03417709572495882,3
206009,2024-12-31,0.042521478523320506,2
210004,2024-03-31,0.03272807580964174,14
210004,2024-06-30,0.019533880295027176,13
210004,2024-09-30,0.03429068264975285,13
210004,2024-12-31,0.027745662558589936,16
210008,2024-03-31,0.06579465228358494,8
210008,2024-06-30,0.03320646654674962,7
210008,2024-09-30,0.043086413448921036,6
210008,2024-12-31,0.03232462914542145,11
213003,2024-03-31,0.1091038653389944,6
213003,2024-06-30,0.08669034831285863,5
213003,2024-09-30,0.08877125442517035,4
213003,2024-12-31,0.11703777799271484,4
213008,2024-03-31,0.22486819663348256,6
213008,2024-06-30,0.09791509955470014,4
213008,2024-09-30,0.04883103658612494,4
213008,2024-12-31,0.040657190343902846,4
240005,2024-03-31,0.007921544583916786,8
240005,2024-06-30,0.020029535905316462,5
240005,2024-09-30,0.01778727359686125,6
240005,2024-12-31,0.013216560582796286,9
240011,2024-03-31,0.04479144455197624,5
240011,2024-06-30,0.06701749843945962,4
240011,2024-09-30,0.06244852105049184,3
240011,2024-12-31,0.08138647072606475,4
240017,2024-03-31,0.06304121598950546,8
240017,2024-06-30,0.06749102670399049,5
240017,2024-09-30,0.07613984325278059,5
240017,2024-12-31,0.027638897213308936,7
240022,2024-03-31,0.5748711243510699,7
240022,2024-06-30,0.5939768483337955,4
240022,2024-09-30,0.5319811716533681,4
240022,2024-12-31,0.3009005419713979,4
257020,2024-03-31,0.023520573232717074,12
257020,2024-06-30,0.02386621910839255,4
257020,2024-09-30,0.021061484401516943,4
257020,2024-12-31,0.0500434336076002,5
257030,2024-03-31,0.08946165346905849,7
257030,2024-06-30,0.08732513337044044,3
257030,2024-09-30,0.07072534707398138,5
257030,2024-12-31,0.1180941645904862,4
