fund_code,quarter,as_value,rg_value,quarter_return,ici_value,next_return,rg_vol,as_change,as_rg_inter,fund_size,log_size,as_value_z,rg_value_z,rg_vol_z,as_change_z,as_rg_z,abs_return,ici_z,as_value_q,rg_value_q
6271,2023Q4,0.94,0.0037760561821539146,-0.053286281429201554,0.04267402564898091,-0.06343099536351982,0.017194516872326034,-0.017421602787456636,0.0035494928112246795,,,-0.3455424833355158,0.36793457695163295,-0.7172500494859411,-0.9269720939687593,-0.12713702742486968,0.06343099536351982,-0.07606638198552688,Q2,Q4
6271,2024Q2,0.9072599327438036,-0.006992201424287611,-0.06343099536351982,0.04267402564898091,-0.0598186257411929,0.0054341404268266405,-0.03482985878318767,-0.006343744193930306,,,-1.5240299700019933,-0.015242678316276528,-1.4698594551446924,-1.928247424987814,0.02323029857710495,0.0598186257411929,-0.07606638198552688,Q1(低),Q3
6281,2021Q2,0.9750825500756857,-0.028644553258874106,0.25052163657806403,0.04267402564898091,-0.0030471470667023937,0.024472389741199717,0.0,-0.027930804037441755,,,0.9172632995915455,-0.7857191146441829,-0.2515000286692919,0.07507090805113395,-0.720711307650671,0.0030471470667023937,-0.07606638198552688,Q5(高),Q1(低)
6281,2021Q4,0.9633333333333334,0.055800431931625365,-0.0030471470667023937,0.04267402564898091,0.006222967605260754,0.059711621665399756,-0.012049458521681378,0.05375441609413244,,,0.49434709723176234,2.2191679180619066,2.003646948746777,-0.6179810308022186,1.097039218563757,0.006222967605260754,-0.07606638198552688,Q4,Q5(高)
6281,2022Q2,0.97,-0.01047439519272575,0.006222967605260754,0.04267402564898091,-0.04971919392137436,0.044447465016457195,0.006920415224913379,-0.010160163336943976,,,0.7343155488224098,-0.13915292445516655,1.0268119029741487,0.4731142874002016,-0.10218215609153895,0.04971919392137436,-0.07606638198552688,Q4,Q2
6281,2022Q4,0.9632017024263964,-0.015389709289292036,-0.04971919392137436,0.04267402564898091,0.04132731231352316,0.03777273077975163,-0.007008554199591344,-0.014823394187293415,,,0.4896090074938899,-0.3140592680009664,0.5996599499650647,-0.3280419843535782,-0.15376624650021073,0.04132731231352316,-0.07606638198552688,Q4,Q2
6281,2023Q2,0.9366666666666666,-0.02396262248287442,0.04132731231352316,0.04267402564898091,-0.05415144387167814,0.03663118115721286,-0.027548784115399183,-0.022444989725625707,,,-0.4655267091308395,-0.6191174740009702,0.5266060824353682,-1.5094598996922208,0.2882157202370697,0.05415144387167814,-0.07606638198552688,Q2,Q2
6281,2023Q4,0.9433333333333332,0.01956153385086848,-0.05415144387167814,0.04267402564898091,-0.0022283330172577775,0.018924600488609736,0.007117437722419906,0.018453046932652598,,,-0.22555825754019204,0.9296443936421863,-0.6065327430948252,0.4844464832535614,-0.20968896956193994,0.0022283330172577775,-0.07606638198552688,Q2,Q5(高)
6281,2024Q2,0.9566666666666667,-0.013656155028852077,-0.0022283330172577775,0.04267402564898091,-0.056715845947499566,0.01915306711403345,0.014134275618374659,-0.013064388310935154,,,0.2543786456411109,-0.25237254135950704,-0.5919119414589384,0.8880358312446555,-0.06419818526803665,0.056715845947499566,-0.07606638198552688,Q3,Q2
630001,2021Q2,0.95,-0.05178287684445971,0.1560856269113151,0.04267402564898091,-0.012877765084640114,0.024472389741199717,0.0,-0.04919373300223672,,,0.014410194050459417,-1.6090723113323617,-0.2515000286692919,0.07507090805113395,-0.02318704424752058,0.012877765084640114,-0.07606638198552688,Q3,Q1(低)
630001,2021Q4,0.9610520512528042,0.014939136891980566,-0.012877765084640114,0.04267402564898091,0.014243482934695129,0.04717958836745889,0.011633738160846674,0.014357288153984366,,,0.41223173795585144,0.7651612020062544,1.2016550928084915,0.7442117473659569,0.31542373211942654,0.014243482934695129,-0.07606638198552688,Q4,Q5(高)
630001,2022Q2,0.9492850333651096,-0.022680043625145443,0.014243482934695129,0.04267402564898091,-0.015292746868627916,0.033451469228363895,-0.012243892380600419,-0.021529825969418333,,,-0.011325221396582666,-0.5734782383575683,0.3231193049476565,-0.6291643352353689,0.006494768015521666,0.015292746868627916,-0.07606638198552688,Q3,Q2
630001,2022Q4,0.9280484444954654,-0.013812251656628199,-0.015292746868627916,0.04267402564898091,-0.0905751024445387,0.027478860384305446,-0.022371140514417354,-0.012818438664913716,,,-0.7757419236139447,-0.2579270776246918,-0.05909988788092418,-1.2116559834502327,0.20008484734870163,0.0905751024445387,-0.07606638198552688,Q1(低),Q2
630001,2023Q2,0.9498808672861568,0.02661268703081694,-0.0905751024445387,0.04267402564898091,-0.04009720534629391,0.023310769251033165,0.02352508957930599,0.025278882237647453,,,0.010121980119250681,1.1805523511514877,-0.32583833839574994,1.4281697975406298,0.011949527428090008,0.04009720534629391,-0.07606638198552688,Q3,Q5(高)
630001,2023Q4,0.9366666666666668,-0.0016845476104033821,-0.04009720534629391,0.04267402564898091,-0.014448669201520992,0.021469381772810003,-0.013911429395607855,-0.0015778595950778347,,,-0.4655267091308355,0.17362466630406548,-0.4436785743775967,-0.7250765091543153,-0.08082691952847107,0.014448669201520992,-0.07606638198552688,Q2,Q3
630001,2024Q2,0.9366666666666666,-0.016508366150610205,-0.014448669201520992,0.030172641161323243,-0.07205908845253117,0.019723991775267628,-1.1102230246251565e-16,-0.015462836294404892,,,-0.4655267091308395,-0.3538655097693745,-0.5553754179931597,0.07507090805112755,0.16473384623784382,0.07205908845253117,-0.4168280657137726,Q2,Q2
630002,2021Q2,0.9209661623912886,0.024175602160481993,0.0164483860987934,0.04267402564898091,-0.029590056694286937,0.024472389741199717,0.0,0.022264911545237645,,,-1.0306705641540672,1.093831218949814,-0.2515000286692919,0.07507090805113395,-1.1273796395243358,0.029590056694286937,-0.07606638198552688,Q1(低),Q5(高)
