fund_code,date,nav,daily_return
519173,2022-04-14,1.384,1.99
519173,2022-04-15,1.376,-0.58
519173,2022-04-18,1.389,0.94
519173,2022-04-19,1.376,-0.94
519173,2022-04-20,1.34,-2.62
519173,2022-04-21,1.321,-1.42
519173,2022-04-22,1.315,-0.45
519173,2022-04-25,1.241,-5.63
519173,2022-04-26,1.234,-0.56
519173,2022-04-27,1.287,4.29
519173,2022-04-28,1.3,1.01
519173,2022-04-29,1.329,2.23
519173,2022-05-05,1.328,-0.08
519173,2022-05-06,1.301,-2.03
519173,2022-05-09,1.305,0.31
519173,2022-05-10,1.336,2.38
519173,2022-05-11,1.348,0.9
519173,2022-05-12,1.351,0.22
519173,2022-05-13,1.361,0.74
519173,2022-05-16,1.345,-1.18
519173,2022-05-17,1.394,3.64
519173,2022-05-18,1.402,0.57
519173,2022-05-19,1.421,1.36
519173,2022-05-20,1.429,0.56
519173,2022-05-23,1.437,0.56
519173,2022-05-24,1.39,-3.27
519173,2022-05-25,1.398,0.58
519173,2022-05-26,1.391,-0.5
519173,2022-05-27,1.394,0.22
519173,2022-05-30,1.412,1.29
519173,2022-05-31,1.436,1.7
519173,2022-06-01,1.428,-0.56
519173,2022-06-02,1.459,2.17
519173,2022-06-06,1.496,2.54
519173,2022-06-07,1.478,-1.2
519173,2022-06-08,1.476,-0.14
519173,2022-06-09,1.441,-2.37
519173,2022-06-10,1.474,2.29
519173,2022-06-13,1.468,-0.41
519173,2022-06-14,1.436,-2.18
519173,2022-06-15,1.438,0.14
519173,2022-06-16,1.459,1.46
519173,2022-06-17,1.494,2.4
519173,2022-06-20,1.494,0.0
519173,2022-06-21,1.479,-1.0
519173,2022-06-22,1.479,0.0
519173,2022-06-23,1.522,2.91
519173,2022-06-24,1.54,1.18
519173,2022-06-27,1.559,1.23
519173,2022-06-28,1.591,2.05
519173,2022-06-29,1.536,-3.46
519173,2022-06-30,1.574,2.47
519173,2022-07-01,1.576,0.13
519173,2022-07-04,1.598,1.4
519173,2022-07-05,1.584,-0.88
519173,2022-07-06,1.565,-1.2
519173,2022-07-07,1.588,1.47
519173,2022-07-08,1.571,-1.07
519173,2022-07-11,1.539,-2.04
519173,2022-07-12,1.503,-2.34
519173,2022-07-13,1.516,0.86
519173,2022-07-14,1.552,2.37
519173,2022-07-15,1.564,0.77
519173,2022-07-18,1.563,-0.06
519173,2022-07-19,1.548,-0.96
519173,2022-07-20,1.565,1.1
519173,2022-07-21,1.54,-1.6
519173,2022-07-22,1.546,0.39
519173,2022-07-25,1.51,-2.33
519173,2022-07-26,1.535,1.66
519173,2022-07-27,1.556,1.37
519173,2022-07-28,1.555,-0.06
519173,2022-07-29,1.548,-0.45
519173,2022-08-01,1.567,1.23
519173,2022-08-02,1.571,0.26
519173,2022-08-03,1.534,-2.36
519173,2022-08-04,1.524,-0.65
519173,2022-08-05,1.546,1.44
519173,2022-08-08,1.58,2.2
519173,2022-08-09,1.593,0.82
519173,2022-08-10,1.611,1.13
519173,2022-08-11,1.601,-0.62
519173,2022-08-12,1.549,-3.25
519173,2022-08-15,1.586,2.39
519173,2022-08-16,1.615,1.83
519173,2022-08-17,1.624,0.56
519173,2022-08-18,1.673,3.02
519173,2022-08-19,1.615,-3.47
519173,2022-08-22,1.618,0.19
519173,2022-08-23,1.638,1.24
519173,2022-08-24,1.557,-4.95
519173,2022-08-25,1.532,-1.61
519173,2022-08-26,1.505,-1.76
519173,2022-08-29,1.546,2.72
519173,2022-08-30,1.524,-1.42
519173,2022-08-31,1.432,-6.04
519173,2022-09-01,1.423,-0.63
519173,2022-09-02,1.43,0.49
519173,2022-09-05,1.45,1.4
519173,2022-09-06,1.51,4.14
519173,2022-09-07,1.551,2.72
519173,2022-09-08,1.535,-1.03
519173,2022-09-09,1.507,-1.82
519173,2022-09-13,1.486,-1.39
519173,2022-09-14,1.49,0.27
519173,2022-09-15,1.406,-5.64
519173,2022-09-16,1.4,-0.43
519173,2022-09-19,1.383,-1.21
519173,2022-09-20,1.409,1.88
519173,2022-09-21,1.397,-0.85
519173,2022-09-22,1.421,1.72
519173,2022-09-23,1.389,-2.25
519173,2022-09-26,1.417,2.02
519173,2022-09-27,1.439,1.55
519173,2022-09-28,1.396,-2.99
519173,2022-09-29,1.413,1.22
519173,2022-09-30,1.366,-3.33
519173,2022-10-10,1.325,-3.0
519173,2022-10-11,1.332,0.53
519173,2022-10-12,1.359,2.03
519173,2022-10-13,1.356,-0.22
519173,2022-10-14,1.383,1.99
519173,2022-10-17,1.388,0.36
519173,2022-10-18,1.404,1.15
519173,2022-10-19,1.398,-0.43
519173,2022-10-20,1.379,-1.36
519173,2022-10-21,1.398,1.38
519173,2022-10-24,1.375,-1.65
519173,2022-10-25,1.374,-0.07
519173,2022-10-26,1.389,1.09
519173,2022-10-27,1.354,-2.52
519173,2022-10-28,1.329,-1.85
519173,2022-10-31,1.316,-0.98
519173,2022-11-01,1.338,1.67
519173,2022-11-02,1.361,1.72
519173,2022-11-03,1.378,1.25
519173,2022-11-04,1.404,1.89
519173,2022-11-07,1.38,-1.71
519173,2022-11-08,1.369,-0.8
519173,2022-11-09,1.351,-1.31
519173,2022-11-10,1.319,-2.37
519173,2022-11-11,1.34,1.59
519173,2022-11-14,1.324,-1.19
519173,2022-11-15,1.367,3.25
519173,2022-11-16,1.35,-1.24
519173,2022-11-17,1.352,0.15
519173,2022-11-18,1.33,-1.63
519173,2022-11-21,1.339,0.68
519173,2022-11-22,1.317,-1.64
519173,2022-11-23,1.322,0.38
519173,2022-11-24,1.325,0.23
519173,2022-11-25,1.301,-1.81
519173,2022-11-28,1.302,0.08
519173,2022-11-29,1.302,0.0
519173,2022-11-30,1.297,-0.38
519173,2022-12-01,1.314,1.31
519173,2022-12-02,1.318,0.3
519173,2022-12-05,1.328,0.76
519173,2022-12-06,1.332,0.3
519173,2022-12-07,1.323,-0.68
519173,2022-12-08,1.315,-0.6
519173,2022-12-09,1.323,0.61
519173,2022-12-12,1.327,0.3
519173,2022-12-13,1.312,-1.13
519173,2022-12-14,1.306,-0.46
519173,2022-12-15,1.309,0.23
519173,2022-12-16,1.292,-1.3
519173,2022-12-19,1.268,-1.86
519173,2022-12-20,1.254,-1.1
519173,2022-12-21,1.245,-0.72
519173,2022-12-22,1.243,-0.16
519173,2022-12-23,1.232,-0.88
519173,2022-12-26,1.256,1.95
519173,2022-12-27,1.273,1.35
519173,2022-12-28,1.266,-0.55
519173,2022-12-29,1.272,0.47
519173,2022-12-30,1.267,-0.39
519173,2022-12-31,1.267,0.0
519173,2023-01-03,1.288,1.66
519173,2023-01-04,1.287,-0.08
519173,2023-01-05,1.304,1.32
519173,2023-01-06,1.302,-0.15
519173,2023-01-09,1.312,0.77
519173,2023-01-10,1.321,0.69
519173,2023-01-11,1.319,-0.15
519173,2023-01-12,1.322,0.23
519173,2023-01-13,1.329,0.53
519173,2023-01-16,1.35,1.58
519173,2023-01-17,1.352,0.15
519173,2023-01-18,1.349,-0.22
519173,2023-01-19,1.367,1.33
519173,2023-01-20,1.379,0.88
519173,2023-01-30,1.386,0.51
519173,2023-01-31,1.361,-1.8
519173,2023-02-01,1.377,1.18
519173,2023-02-02,1.379,0.15
519173,2023-02-03,1.383,0.29
519173,2023-02-06,1.371,-0.87
519173,2023-02-07,1.361,-0.73
519173,2023-02-08,1.355,-0.44
519173,2023-02-09,1.383,2.07
519173,2023-02-10,1.367,-1.16
519173,2023-02-13,1.384,1.24
519173,2023-02-14,1.384,0.0
519173,2023-02-15,1.389,0.36
