fund_code,report_date,year,quarter,AS_new,num_holdings
11400,2024-06-30,2024,2,0.9542017299968975,100
11400,2024-12-31,2024,4,0.9482538483957152,89
11400,2025-06-30,2025,2,0.9563333333333194,93
11400,2025-12-31,2025,4,0.9639999999999868,74
11412,2021-06-30,2021,2,0.974768093152107,82
11412,2021-12-31,2021,4,0.9744328831082065,115
11412,2022-06-30,2022,2,0.9697075382028079,107
11412,2022-12-31,2022,4,0.9688805185494814,94
11412,2023-06-30,2023,2,0.9833333333333196,130
11412,2023-12-31,2023,4,0.9823333333333196,134
11412,2024-06-30,2024,2,0.9713333333333196,83
11412,2024-12-31,2024,4,0.9679999999999864,77
11412,2025-06-30,2025,2,0.9781541301338118,85
11412,2025-12-31,2025,4,0.960984392419161,144
11452,2021-06-30,2021,2,0.9617002683020177,131
11452,2021-12-31,2021,4,0.9532095094085878,228
11452,2022-06-30,2022,2,0.9617600262984741,210
11452,2022-12-31,2022,4,0.9740548757878985,115
11452,2023-06-30,2023,2,0.9588392521932202,156
11452,2023-12-31,2023,4,0.9595509015352905,143
11452,2024-06-30,2024,2,0.9499398279078023,75
11452,2024-12-31,2024,4,0.9430364627384502,104
11452,2025-06-30,2025,2,0.9665022512032161,101
11452,2025-12-31,2025,4,0.9656430558382391,104
11488,2021-06-30,2021,2,0.9873333333333194,40
11488,2021-12-31,2021,4,0.9823489583333195,106
11488,2022-06-30,2022,2,0.9783333333333194,60
11488,2022-12-31,2022,4,0.9823333333333191,61
11488,2023-06-30,2023,2,0.963333333333319,56
11488,2023-12-31,2023,4,0.9663333333333191,57
11488,2024-06-30,2024,2,0.956551540421574,63
11488,2024-12-31,2024,4,0.9636666666666521,65
11488,2025-06-30,2025,2,0.9689999999999862,54
11488,2025-12-31,2025,4,0.9692713946526141,51
1170,2020-06-30,2020,2,0.9792688472649203,59
1170,2020-12-31,2020,4,0.9809625768510958,129
1170,2021-06-30,2021,2,0.972827601708236,189
1170,2021-12-31,2021,4,0.9693072314933546,134
1170,2022-06-30,2022,2,0.9535692204300948,181
1170,2022-12-31,2022,4,0.9637141495950314,71
1170,2023-06-30,2023,2,0.9676054174246886,138
1170,2023-12-31,2023,4,0.9699590026655208,90
1170,2024-06-30,2024,2,0.9633333333333196,52
1170,2024-12-31,2024,4,0.962333333333319,65
1170,2025-06-30,2025,2,0.9619999999999862,78
1170,2025-12-31,2025,4,0.9689999999999866,55
