fund_code,report_date,as_value,source,num_holdings,quarter
5001,2021-06-30,0.9700000000000002,full_holdings,120,2021Q2
5001,2021-12-31,0.9566666666666668,full_holdings,107,2021Q4
5001,2022-06-30,0.9709298081630837,full_holdings,54,2022Q2
5001,2022-12-31,0.9732062523827679,full_holdings,98,2022Q4
5001,2023-06-30,0.9704431599229286,full_holdings,116,2023Q2
5001,2023-12-31,0.9766666666666667,full_holdings,99,2023Q4
5001,2024-06-30,0.9633333333333334,full_holdings,59,2024Q2
5001,2024-12-31,0.9564279462083234,full_holdings,73,2024Q4
5094,2020-06-30,0.9589380906870553,full_holdings,45,2020Q2
5094,2020-12-31,0.9495045531717858,full_holdings,119,2020Q4
5094,2021-06-30,0.9665530948324814,full_holdings,143,2021Q2
5094,2021-12-31,0.9766666666666667,full_holdings,109,2021Q4
5094,2022-06-30,0.9770083994937292,full_holdings,109,2022Q2
5094,2022-12-31,0.969893185216834,full_holdings,56,2022Q4
5094,2023-06-30,0.962693742671357,full_holdings,46,2023Q2
5094,2023-12-31,0.9598865698729584,full_holdings,33,2023Q4
5094,2024-06-30,0.9666666666666666,full_holdings,26,2024Q2
5094,2024-12-31,0.9665599316896147,full_holdings,41,2024Q4
5136,2020-06-30,0.9445310681871073,full_holdings,76,2020Q2
5136,2020-12-31,0.9315585135884636,full_holdings,111,2020Q4
5136,2021-06-30,0.9162463343108505,full_holdings,162,2021Q2
5136,2021-12-31,0.9210219463533585,full_holdings,146,2021Q4
5136,2022-06-30,0.93,full_holdings,88,2022Q2
5136,2022-12-31,0.946708444106849,full_holdings,121,2022Q4
5136,2023-06-30,0.9390001079796999,full_holdings,153,2023Q2
5136,2023-12-31,0.96166314070445,full_holdings,155,2023Q4
5136,2024-06-30,0.9255797101449276,full_holdings,121,2024Q2
5136,2024-12-31,0.9159563226488201,full_holdings,171,2024Q4
5207,2020-06-30,0.95,full_holdings,53,2020Q2
5207,2020-12-31,0.9595720552048786,full_holdings,78,2020Q4
5207,2021-06-30,0.9556886184162863,full_holdings,108,2021Q2
5207,2021-12-31,0.9524412726732085,full_holdings,101,2021Q4
5207,2022-06-30,0.9648416532474504,full_holdings,62,2022Q2
5207,2022-12-31,0.98,full_holdings,56,2022Q4
5207,2023-06-30,0.9726865725270382,full_holdings,73,2023Q2
5207,2023-12-31,0.973225621140313,full_holdings,83,2023Q4
5207,2024-06-30,0.9466666666666668,full_holdings,79,2024Q2
5207,2024-12-31,0.9733333333333334,full_holdings,59,2024Q4
5449,2020-06-30,0.9352700186219739,full_holdings,63,2020Q2
5449,2020-12-31,0.9448249865374261,full_holdings,92,2020Q4
5449,2021-06-30,0.9433659597607396,full_holdings,160,2021Q2
5449,2021-12-31,0.9425461812682295,full_holdings,144,2021Q4
5449,2022-06-30,0.9507852890195192,full_holdings,142,2022Q2
5449,2022-12-31,0.9324762115512283,full_holdings,197,2022Q4
5449,2023-06-30,0.927001332741004,full_holdings,217,2023Q2
5449,2023-12-31,0.9347462553096355,full_holdings,238,2023Q4
5449,2024-06-30,0.9230841742452556,full_holdings,180,2024Q2
5449,2024-12-31,0.9354844938329984,full_holdings,212,2024Q4
5729,2020-06-30,0.9633333333333333,full_holdings,37,2020Q2
5729,2020-12-31,0.9533333333333334,full_holdings,74,2020Q4
5729,2021-06-30,0.9429959514170041,full_holdings,90,2021Q2
5729,2021-12-31,0.9533333333333334,full_holdings,64,2021Q4
5729,2022-06-30,0.96,full_holdings,38,2022Q2
5729,2022-12-31,0.9728843491600254,full_holdings,54,2022Q4
5729,2023-06-30,0.9617363530778166,full_holdings,65,2023Q2
5729,2023-12-31,0.9500000000000001,full_holdings,50,2023Q4
5729,2024-06-30,0.9466666666666667,full_holdings,30,2024Q2
5729,2024-12-31,0.9307801585432856,full_holdings,35,2024Q4
5765,2020-06-30,0.924084427977995,full_holdings,80,2020Q2
5765,2020-12-31,0.9256667777654335,full_holdings,114,2020Q4
5765,2021-06-30,0.9466666666666668,full_holdings,134,2021Q2
5765,2021-12-31,0.9529053885382119,full_holdings,196,2021Q4
5765,2022-06-30,0.9633333333333334,full_holdings,71,2022Q2
5765,2022-12-31,0.9512142403051496,full_holdings,90,2022Q4
5765,2023-06-30,0.9336037177862273,full_holdings,117,2023Q2
5765,2023-12-31,0.9228482534295008,full_holdings,142,2023Q4
5765,2024-06-30,0.9333333333333333,full_holdings,71,2024Q2
5765,2024-12-31,0.9333333333333333,full_holdings,87,2024Q4
5774,2020-06-30,0.9866666666666666,full_holdings,34,2020Q2
5774,2020-12-31,0.9851804670912951,full_holdings,34,2020Q4
5774,2021-06-30,0.9900000000000002,full_holdings,84,2021Q2
5774,2021-12-31,0.9900000000000001,full_holdings,79,2021Q4
5774,2022-06-30,0.9866666666666667,full_holdings,62,2022Q2
5774,2022-12-31,0.9865601703940362,full_holdings,77,2022Q4
5774,2023-06-30,0.9833333333333334,full_holdings,103,2023Q2
5774,2023-12-31,0.9833333333333334,full_holdings,106,2023Q4
5774,2024-06-30,0.9700000000000001,full_holdings,52,2024Q2
5774,2024-12-31,0.9633333333333334,full_holdings,57,2024Q4
5787,2020-06-30,0.951664255776863,full_holdings,74,2020Q2
5787,2020-12-31,0.933112534039891,full_holdings,100,2020Q4
5787,2021-06-30,0.9299999999999999,full_holdings,165,2021Q2
5787,2021-12-31,0.9332194640552645,full_holdings,143,2021Q4
5787,2022-06-30,0.9237497246089448,full_holdings,137,2022Q2
5787,2022-12-31,0.9265586169638035,full_holdings,162,2022Q4
5787,2023-06-30,0.9105084745762713,full_holdings,180,2023Q2
5787,2023-12-31,0.92,full_holdings,147,2023Q4
5787,2024-06-30,0.9333333333333333,full_holdings,71,2024Q2
5787,2024-12-31,0.9133333333333333,full_holdings,91,2024Q4
5819,2020-06-30,0.9233315410259169,full_holdings,78,2020Q2
5819,2020-12-31,0.9281471389645777,full_holdings,84,2020Q4
5819,2021-06-30,0.9480024414604373,full_holdings,136,2021Q2
5819,2021-12-31,0.945962171926469,full_holdings,125,2021Q4
5819,2022-06-30,0.9433972682359779,full_holdings,82,2022Q2
5819,2022-12-31,0.9865557158178928,full_holdings,77,2022Q4
5819,2023-06-30,0.9581159259669733,full_holdings,55,2023Q2
5819,2023-12-31,0.9755938204055359,full_holdings,55,2023Q4
5819,2024-06-30,0.9457458957887224,full_holdings,46,2024Q2
5819,2024-12-31,0.973783283497081,full_holdings,49,2024Q4
5844,2020-06-30,0.9533333333333334,full_holdings,28,2020Q2
