fund_code,report_date,quarter,stock_code,stock_name,hold_ratio
002910,2020-12-31,2020Q4,600486,扬农化工,7.57
002910,2020-12-31,2020Q4,002734,利民股份,5.73
002910,2020-12-31,2020Q4,603378,亚士创能,5.54
002910,2020-12-31,2020Q4,002597,金禾实业,5.1
002910,2020-12-31,2020Q4,002258,利尔化学,4.61
002910,2020-12-31,2020Q4,000902,新洋丰,4.4
002910,2020-12-31,2020Q4,603033,三维股份,2.34
002910,2020-12-31,2020Q4,603916,苏博特,2.09
002910,2020-12-31,2020Q4,600873,梅花生物,2.03
002910,2020-12-31,2020Q4,600309,万华化学,1.99
002910,2021-06-30,2021Q2,603995,甬金股份,8.95
002910,2021-06-30,2021Q2,002648,卫星化学,7.98
002910,2021-06-30,2021Q2,002206,海利得,7.92
002910,2021-06-30,2021Q2,600989,宝丰能源,6.12
002910,2021-06-30,2021Q2,601702,华峰铝业,5.86
002910,2021-06-30,2021Q2,601808,中海油服,5.47
002910,2021-06-30,2021Q2,603348,文灿股份,5.05
002910,2021-06-30,2021Q2,600583,海油工程,4.84
002910,2021-06-30,2021Q2,002734,利民股份,4.66
002910,2021-06-30,2021Q2,603997,继峰股份,4.23
002910,2021-06-30,2021Q2,002648,卫星化学,8.02
002910,2021-06-30,2021Q2,002206,海利得,7.62
002910,2021-06-30,2021Q2,601808,中海油服,7.07
002910,2021-06-30,2021Q2,600583,海油工程,6.92
002910,2021-06-30,2021Q2,600989,宝丰能源,5.78
002910,2021-06-30,2021Q2,600188,兖矿能源,5.23
002910,2021-06-30,2021Q2,603995,甬金股份,5.22
002910,2021-06-30,2021Q2,000807,云铝股份,4.61
002910,2021-06-30,2021Q2,002475,立讯精密,4.59
002910,2021-06-30,2021Q2,601702,华峰铝业,4.57
002910,2021-06-30,2021Q2,002648,卫星化学,9.75
002910,2021-06-30,2021Q2,600989,宝丰能源,5.74
002910,2021-06-30,2021Q2,601808,中海油服,5.14
002910,2021-06-30,2021Q2,000902,新洋丰,5.04
002910,2021-06-30,2021Q2,600583,海油工程,4.88
002910,2021-06-30,2021Q2,002206,海利得,4.7
002910,2021-06-30,2021Q2,601233,桐昆股份,4.31
002910,2021-06-30,2021Q2,600660,福耀玻璃,4.08
002910,2021-06-30,2021Q2,000807,云铝股份,4.04
002910,2021-06-30,2021Q2,002475,立讯精密,4.03
002910,2021-06-30,2021Q2,603378,亚士创能,3.92
002910,2021-06-30,2021Q2,000301,东方盛虹,3.88
002910,2021-06-30,2021Q2,600623,华谊集团,3.71
002910,2021-06-30,2021Q2,600746,江苏索普,3.39
002910,2021-06-30,2021Q2,002734,利民股份,2.98
002910,2021-06-30,2021Q2,002597,金禾实业,2.84
002910,2021-06-30,2021Q2,000822,山东海化,2.57
002910,2021-06-30,2021Q2,000933,神火股份,2.34
002910,2021-06-30,2021Q2,000830,鲁西化工,2.3
002910,2021-06-30,2021Q2,600409,三友化工,2.02
002910,2021-06-30,2021Q2,603916,苏博特,1.79
002910,2021-06-30,2021Q2,601857,中国石油,1.58
002910,2021-06-30,2021Q2,002258,利尔化学,1.3
002910,2021-06-30,2021Q2,000949,新乡化纤,1.12
002910,2021-06-30,2021Q2,002274,华昌化工,1.03
002910,2021-06-30,2021Q2,601058,赛轮轮胎,0.98
002910,2021-06-30,2021Q2,600486,扬农化工,0.95
002910,2021-06-30,2021Q2,600873,梅花生物,0.86
002910,2021-06-30,2021Q2,600426,华鲁恒升,0.72
002910,2021-06-30,2021Q2,600905,三峡能源,0.09
002910,2021-06-30,2021Q2,300957,贝泰妮,0.04
002910,2021-06-30,2021Q2,300782,卓胜微,0.01
002910,2021-06-30,2021Q2,688276,百克生物,0.01
002910,2021-06-30,2021Q2,301015,百洋医药,0.0
002910,2021-06-30,2021Q2,688601,力芯微,0.0
002910,2021-06-30,2021Q2,688059,华锐精密,0.0
002910,2021-06-30,2021Q2,688661,和林微纳,0.0
002910,2021-06-30,2021Q2,301016,雷尔伟,0.0
002910,2021-06-30,2021Q2,688097,博众精工,0.0
002910,2021-06-30,2021Q2,300919,中伟股份,0.0
002910,2021-06-30,2021Q2,688109,品茗科技,0.0
002910,2021-06-30,2021Q2,301004,嘉益股份,0.0
002910,2021-06-30,2021Q2,300979,华利集团,0.0
002910,2021-06-30,2021Q2,603529,爱玛科技,0.0
002910,2021-06-30,2021Q2,688328,深科达,0.0
002910,2021-06-30,2021Q2,688087,英科再生,0.0
002910,2021-06-30,2021Q2,301017,漱玉平民,0.0
002910,2021-06-30,2021Q2,300973,立高食品,0.0
002910,2021-06-30,2021Q2,688367,工大高科,0.0
002910,2021-06-30,2021Q2,601528,瑞丰银行,0.0
002910,2021-06-30,2021Q2,301021,英诺激光,0.0
002910,2021-06-30,2021Q2,300953,震裕科技,0.0
002910,2021-06-30,2021Q2,001207,联科科技,0.0
002910,2021-06-30,2021Q2,301009,可靠股份,0.0
002910,2021-06-30,2021Q2,688226,威腾电气,0.0
