fund_code,认知能力,配置选择能力,风险应对能力,风险转化能力,交易执行能力,综合能力,ff5_alpha
9856,0.45999107554556506,-0.5857534284465763,0.5638427920894266,-0.15518434397634875,0.23965390796094194,0.10451000063460172,0.04778415235509
9913,-0.16323351040988582,0.4844192841217099,0.6761724318839171,-0.20439413492941905,-0.279285321072015,0.10273574991886143,0.0349548722132678
9993,-0.6287266207462643,0.2838764086689542,-0.03589619412014966,-0.27818073823003703,1.0621794161059301,0.08065045433568667,0.0080292007379845
10115,0.14556256351015437,-0.06866729537317466,0.8662808118452461,-0.10935745575699007,0.7821145058751405,0.32318662602007525,0.0135594787440172
10237,-0.08146065297549039,1.5930009230195217,0.3364264620607698,-1.276789664384779,-0.03710644426454701,0.10681412469109501,-0.0017386282076819
10238,-0.22035814785279229,1.59267956402257,0.3338500467547121,-1.3192178593651802,-0.03710644426454701,0.0699694318589525,-0.0030135817238213995
10335,-0.415797505647275,0.4685754100976762,0.28602510567242684,-1.2273757430779348,0.7300976594858892,-0.031695014693843504,-0.0122359057976574
10389,-0.5240935724889686,-0.9973785847835992,-0.3395685896286306,-0.6549104049884574,0.7805985882285453,-0.3470705127322221,0.0044240242318653
10390,-0.647068680560592,-1.0087107001134965,-0.3308500346119328,-0.747911003523555,0.7805985882285453,-0.3907883661162062,0.0024544969517176
10415,0.4004993072451791,-1.015279851552139,0.6604886198622186,-1.6292997251138834,0.20373725976396434,-0.2759708779589321,-0.0077034964919926
10416,0.3999083309865101,-1.015279851552139,0.6594804526769054,-1.6644618940580926,0.20373725976396434,-0.28332314043657036,-0.0089446704456374
10912,0.45717739120278666,1.2713524292737133,0.24814210767904654,-0.9174624971520412,0.6755766320922293,0.3469572126191469,0.014624476419515801
10913,0.5251599601102155,1.2712931943749064,0.24811458331644393,-0.965026019796699,0.6755766320922293,0.35102367001941925,0.013362716914863702
11120,-0.011862689133177118,0.8741440786034647,0.7354087892302602,-1.369753097123963,0.5680034938872481,0.15918811509276656,0.0075562812412971
11300,-0.17947704479044232,-0.1568791864235956,0.34722990511148166,-0.32190085407801844,0.8000711485909362,0.0978087936820723,0.0342600355394938
11301,-0.22383914276686329,-0.2509724827534687,0.3457143282817683,-0.3633729981729103,0.8000711485909362,0.06152017063589245,0.0332321331250756
11369,0.47102703294999854,-0.3264761432207789,0.583754080222169,-0.6592276360242696,-0.25104264482139094,-0.036393062178854386,0.004021816087455
11370,0.4482102646039687,-0.30885478889831647,0.5763371105744768,-0.7114461583410899,-0.25104264482139094,-0.04935924337647037,0.0025295039210241
11399,-0.2800924672306145,0.324416900512827,0.07757977808597491,-1.0118676736112027,1.0214433872068602,0.026295984992768993,0.0074716375470087
11400,-0.20035012243819766,0.32982120776014945,0.06632901053138113,-1.0652222006036822,1.0214433872068602,0.030404256491302184,0.0062278225836241005
11412,0.1514245640438965,-0.11849439695878332,0.8957762877421771,-0.15199049707828313,0.7821145058751405,0.3117660927248295,0.012556927245114001
11452,-0.0480867956974442,-1.1482032837750955,0.469447350201027,-1.6928911794929267,0.020410051935865536,-0.4798647713657148,-0.0167955363808253
11488,-0.4814582219418105,-0.24120258919424242,0.07268079564475666,-0.5137523169138464,0.9435983878491625,-0.044026788911196005,0.0081549304012393
11822,-0.31035015541755456,-0.12563409833339884,0.22362219503283715,-0.6317024609709754,0.7014418560742157,-0.028524532722975192,0.0432748501721663
11823,-0.16263226236999487,-0.12805158498653596,0.2167122177182506,-0.6742091311909709,0.7014418560742157,-0.009347780951007101,0.042213429124301
11891,0.03322723608846645,-0.3469298164314574,0.9421293837768195,0.09925553360731347,0.7428837160257941,0.2941132106133872,0.0409794292398733
11892,0.11242164038769806,-0.345016959891639,0.9430412993973459,0.062030552081086855,0.7428837160257941,0.3030720496000572,0.0399750342420911
12301,-0.2540399887772149,-0.37430815274879814,0.2518239972053387,-0.5330145635332327,0.7175030013184889,-0.03840714130708363,0.0449895143768716
12456,0.11324886049244509,0.33173074272628733,0.08661846503844742,-1.359979854292839,0.5447721602484139,-0.056721925157449046,0.011175845839296
12457,0.10036179248251909,0.3311357592709503,0.08374746564677515,-1.4372406584277744,0.5447721602484139,-0.0754446961558232,0.0091530316035533
13107,-0.417613158684372,1.7983309679796977,0.405628454089775,-0.2714673458580324,0.6257064583777964,0.428117075180973,0.0492602217459781
13108,-0.41756395328023077,1.7983309679796977,0.4040854171274547,-0.32794858704877705,0.6257064583777964,0.41652206063118824,0.0476892116285283
13238,-1.517974328823759,-1.1184256981811427,-0.1381654863434783,-0.7470960156346339,-0.29386518384608484,-0.7631053425658197,0.014153824523841799
13239,-1.3796199127443325,-1.120162487146426,-0.13845021935232305,-0.8179326863738767,-0.29386518384608484,-0.7500060978926086,0.0121435755780717
13312,-0.14068223362273127,0.9064696852933841,0.1183938678001133,-1.9211673379580878,0.8850171831581437,-0.030393767065835586,-0.0085691263078614
13369,0.5200263446854759,0.8472733797180014,0.6155661328911665,-0.5844179751384083,0.4367497328097051,0.3670395229931881,0.045971767788349
13370,0.5199211811582953,0.8472733797180014,0.6145637670324215,-0.618706049686425,0.4367497328097051,0.3599604022063997,0.0449609987681617
13840,-0.3043032893570522,2.27782411338833,0.5665953981976098,-0.47750801407077725,1.1755504720111514,0.6476317360338524,0.0330038358324086
13841,-0.32652351570278804,2.246998919994619,0.5797178503632248,-0.49529789535520613,1.1755504720111514,0.6360891662622002,0.0324965638259257
13949,-0.26130420325936143,0.46842046312039626,-0.05671547086482642,-1.0676952093964653,0.6291990268420096,-0.057619078711649466,0.013987886752066503
14282,-0.6175577426499184,0.6123883723020984,0.5013163849905533,-1.1620385337021764,-0.4463576993584424,-0.22244984368357706,0.0382923098518813
14319,0.7935212711257514,2.4401843801754644,0.8750947618663132,-0.17123042577488293,0.08717105346686188,0.8049482081719017,0.0724710293173273
14320,0.9537907901741518,2.4967463219685184,0.8943403647623978,-0.23040909701941056,0.08717105346686188,0.8403278866705038,0.0714133033259355
14497,0.2597659374165393,-0.1997193541611152,0.6099980052071744,-1.8717432272374523,-0.11364915946146992,-0.26306955964726475,0.0068940361256138
14549,-0.21250507587843098,0.4624237657685939,0.24063878164941102,-1.1307114275967012,0.6831706442987117,0.008603337648316889,0.0196562333993891
14611,0.2035552106370754,0.4062587144918641,0.5519183138088181,-0.28998962666434586,0.7115500212733255,0.31665852670934747,0.0644539309409654
14612,0.20323878201266923,0.4062587144918641,0.5500927207989695,-0.34798146030809535,0.7115500212733255,0.3046317556537466,0.0628694616125782
14833,-0.28224742111042633,0.4830689708873013,0.24243881605582918,-0.6622566753558826,0.7170588951846262,0.09961251713228954,0.0431729316478792
14975,0.7759028378344331,0.9473814885622758,0.23678073623302326,0.18304428248342966,0.7853409028947735,0.585690049601587,0.0479077632249828
14989,0.4636868022936387,1.6596820478236616,0.17115016985347742,-0.724680647642618,0.7039418905570227,0.4547560525770365,0.030500533349322696
15389,0.3105447852285397,0.5041640918705309,0.7401718555739931,1.0638259578227385,0.597030770293942,0.6431474921579489,0.0602256995246679
