fund_code,report_date,rc_mom,lead2,fut4q
16773,2025-01-01,-0.0536736120525716,-0.0675006873797084,0.5736425957199266
16773,2025-04-01,,0.5644994840041282,0.6974158123808493
16773,2025-07-01,,0.1677346400301556,1.6194136475295657
16773,2025-10-01,,0.0326823757262739,
16773,2026-01-01,,0.854497147769008,
16773,2026-04-01,,,
16773,2026-07-01,,,
16780,2023-01-01,,0.04551201011378,-0.07242286255778141
16780,2023-04-01,,-0.0882708585247886,-0.0587861756201226
16780,2023-07-01,,-0.043766578249337,-0.09350196441136631
16780,2023-10-01,,0.027739251040223,0.0989077459158265
16780,2024-01-01,0.6568627450980393,0.0107962213225363,0.23916767362102742
16780,2024-04-01,0.3696969696969697,0.1041388518024042,0.2419754009663347
16780,2024-07-01,0.4695562435500516,0.0964933494558639,0.19105076872887058
16780,2024-10-01,0.2606060606060606,0.0305469783855303,0.6678483717759646
16780,2025-01-01,-0.363157894736842,-0.0401284109149278,0.6165563480376097
16780,2025-04-01,,0.5809364548494982,0.5460687408570445
16780,2025-07-01,0.3649122807017544,0.045201325717509,1.5608984869792808
16780,2025-10-01,-0.006060606060606,-0.0399406287950349,
16780,2026-01-01,0.306766917293233,0.9747013352073086,
16780,2026-04-01,0.5757575757575757,,
16780,2026-07-01,-0.2969696969696969,,
17102,2023-04-01,,-0.1830546897137998,-0.010231070170264006
17102,2023-07-01,,-0.0605850387328014,0.023578668474574085
17102,2023-10-01,,0.1955692307692302,0.3400627530010553
17102,2024-01-01,,0.0716491661519451,0.5660007877504681
17102,2024-04-01,,0.1334293948126814,0.3835224660721477
17102,2024-07-01,0.4175824175824176,0.1653529960166115,0.37483094528990824
17102,2024-10-01,,0.0130909090909097,0.7893856120697168
17102,2025-01-01,0.0514705882352941,0.0629576453697056,0.7395162336963149
17102,2025-04-01,-0.4055944055944056,0.54798406159249,0.7534904059570938
17102,2025-07-01,0.1835580860901655,0.1154836176432096,1.6355441848067322
17102,2025-10-01,-0.2447552447552448,0.0270650813516886,
17102,2026-01-01,0.0134158926728586,0.945011424219344,
17102,2026-04-01,0.0934065934065934,,
17102,2026-07-01,-0.8272727272727273,,
17103,2023-04-01,,-0.1842877425461431,-0.01597332649961572
17103,2023-07-01,,-0.0619633325597589,0.017762458231739997
17103,2023-10-01,,0.1940870856011869,0.3338278924897349
17103,2024-01-01,,0.0699264477364551,0.5593638146636604
17103,2024-04-01,,0.1317776917118518,0.3768199979397617
17103,2024-07-01,0.4175824175824176,0.1635725896141666,0.3682396760936972
17103,2024-10-01,,0.0115432688772882,0.782209142305418
17103,2025-01-01,0.0514705882352941,0.0613461258903906,0.7324551695004304
17103,2025-04-01,,0.5457471579235726,0.7464091162158232
17103,2025-07-01,0.1188864143926087,0.113818616809179,1.627268490499979
17103,2025-10-01,-0.4787878787878787,0.0254972155926809,
17103,2026-01-01,0.0980392156862745,0.9422055001745464,
