fund_code,report_date,sharpe8_lag,ir8_lag,bull
10389,2024-04-01,-0.4563044507172241,0.009323183950678876,1.0
10389,2024-07-01,-0.2347119609329061,-0.07386362129945934,0.0
10389,2024-10-01,-0.36674635202758465,0.12847327398504116,1.0
10389,2025-01-01,-0.017798141104052652,-0.2943616186907638,1.0
10389,2025-04-01,-0.2727427855155857,-0.553664257027246,0.0
10389,2025-07-01,-0.3380859891591755,-0.5950390797438792,1.0
10389,2025-10-01,-0.31050708616992906,-0.7177936855764372,1.0
10389,2026-01-01,0.19882143554903475,-0.13694351835823582,1.0
10389,2026-04-01,0.3179054368160024,-0.01976595643394399,0.0
10389,2026-07-01,0.31073334652390305,-0.020101143331515504,0.0
10390,2021-01-01,,,1.0
10390,2021-04-01,,,0.0
10390,2021-07-01,,,0.0
10390,2021-10-01,,,1.0
10390,2022-01-01,0.13934265103568325,-0.1950214713856591,1.0
10390,2022-04-01,0.4473131748514358,0.06105955151232295,0.0
10390,2022-07-01,-0.05173287130222306,0.17474948197970377,1.0
10390,2022-10-01,-0.006513463369204654,-0.12855306263209018,0.0
10390,2023-01-01,-0.10241013680027301,0.039022337985851877,1.0
10390,2023-04-01,-0.08821612024281268,0.26103426449823175,0.0
10390,2023-07-01,0.055508176451030636,0.24517363545810783,1.0
10390,2023-10-01,-0.12592742847476537,0.2609712783874012,0.0
10390,2024-01-01,-0.13696093269225978,0.2520852051257124,0.0
10390,2024-04-01,-0.4833514438872468,0.009361780225752955,1.0
10390,2024-07-01,-0.2712122745569971,-0.07448318331541587,0.0
10390,2024-10-01,-0.4052174338420281,0.1267570509543961,1.0
10390,2025-01-01,-0.051974659198850935,-0.2965177258967187,1.0
10390,2025-04-01,-0.30208045057984384,-0.5550898293377416,0.0
10390,2025-07-01,-0.36908554656557546,-0.5960295500163334,1.0
10390,2025-10-01,-0.3420923244670027,-0.718823637121245,1.0
10390,2026-01-01,0.18506303050074163,-0.13777772169939623,1.0
10390,2026-04-01,0.30334003949477756,-0.020748317495283816,0.0
10390,2026-07-01,0.29611811138278704,-0.02089509257451099,0.0
10415,2021-07-01,,,0.0
10415,2021-10-01,,,1.0
10415,2022-01-01,,,1.0
10415,2022-04-01,,,0.0
10415,2022-07-01,-0.2061870497213306,-0.20162705782848747,1.0
10415,2022-10-01,-0.203480442070212,-0.4243848499602327,0.0
10415,2023-01-01,-0.4325989953372262,-0.3720394145146699,1.0
10415,2023-04-01,-0.36779935157236526,-0.2960026552515394,0.0
10415,2023-07-01,-0.3877516446870003,-0.2811069006862722,1.0
10415,2023-10-01,-0.6099213461733567,-0.14296412902251465,0.0
10415,2024-01-01,-0.8578168192503195,-0.12392574454151772,0.0
10415,2024-04-01,-0.8803061178110522,0.09866967939185273,1.0
10415,2024-07-01,-0.5907555760267008,-0.18680594712884957,0.0
10415,2024-10-01,-0.5344731164833761,-0.06714844161846888,1.0
10415,2025-01-01,-0.27824918893179784,-0.3109032754076731,1.0
10415,2025-04-01,-0.4408691677765375,-0.5135300685546516,0.0
10415,2025-07-01,-0.35864263265412094,-0.5330420588084795,1.0
10415,2025-10-01,-0.07727792038197599,-0.6155695713023337,1.0
10415,2026-01-01,0.37561496836124103,0.014767340320620478,1.0
10415,2026-04-01,0.5330932260290483,0.030404450004636995,0.0
10415,2026-07-01,0.6151171615409269,0.16221159919464045,0.0
10416,2021-07-01,,,0.0
10416,2021-10-01,,,1.0
10416,2022-01-01,,,1.0
10416,2022-04-01,,,0.0
10416,2022-07-01,-0.21573612161256112,-0.20171704959624648,1.0
10416,2022-10-01,-0.21433887279720204,-0.424339850641523,0.0
10416,2023-01-01,-0.442098350761473,-0.37188168527733967,1.0
10416,2023-04-01,-0.37792865890816196,-0.2958906958557018,0.0
10416,2023-07-01,-0.3986447870318615,-0.28082767356193566,1.0
10416,2023-10-01,-0.6229209186754598,-0.14294732508363298,0.0
10416,2024-01-01,-0.871021224717827,-0.12368360017106668,0.0
10416,2024-04-01,-0.8934064391630437,0.09902841765166705,1.0
10416,2024-07-01,-0.6036341414652245,-0.18668582934593517,0.0
10416,2024-10-01,-0.547140043208315,-0.06732460111524587,1.0
10416,2025-01-01,-0.29472352296997345,-0.31105307943733235,1.0
10416,2025-04-01,-0.457470692047503,-0.5138440660323601,0.0
10416,2025-07-01,-0.37511800899338443,-0.5338609340593832,1.0
10416,2025-10-01,-0.08963518707768542,-0.6174837489451926,1.0
10416,2026-01-01,0.3707369025811063,0.01410513362112626,1.0
10416,2026-04-01,0.5279557689137523,0.029700583455740816,0.0
10416,2026-07-01,0.6104549835823734,0.16217733825232322,0.0
10912,2021-04-01,,,0.0
10912,2021-07-01,,,0.0
10912,2021-10-01,,,1.0
10912,2022-01-01,,,1.0
10912,2022-04-01,0.04735370612823632,-0.024762290006865514,0.0
10912,2022-07-01,-0.3071250502633275,0.23694672992807597,1.0
10912,2022-10-01,0.03318923506970191,0.2710720700490068,0.0
10912,2023-01-01,-0.09413892836295006,0.3452035586923745,1.0
10912,2023-04-01,-0.25409084601529336,-0.08222064167138417,0.0
10912,2023-07-01,-0.24934758041015107,-0.32368323437503727,1.0
10912,2023-10-01,-0.29547756265205466,-0.03755983200526554,0.0
10912,2024-01-01,-0.3285374934444111,-0.10133170434722373,0.0
10912,2024-04-01,-0.37833832162476555,-0.036527936112038466,1.0
10912,2024-07-01,-0.3021373639653108,-0.27121165335958514,0.0
10912,2024-10-01,-0.6786178311949267,-0.29181777811533344,1.0
10912,2025-01-01,-0.26608253714620234,-0.35732103409908694,1.0
10912,2025-04-01,0.05531270009918241,-0.009275963457940602,0.0
10912,2025-07-01,0.011585094846886886,-0.0098762469596865,1.0
10912,2025-10-01,-0.07642863765128288,-0.2956340359376493,1.0
10912,2026-01-01,0.40769430105841514,0.1955005259056371,1.0
10912,2026-04-01,0.3927282895661312,0.14385637226199655,0.0
10912,2026-07-01,0.36209303377293434,0.17715041665899134,0.0
10913,2021-04-01,,,0.0
10913,2021-07-01,,,0.0
10913,2021-10-01,,,1.0
10913,2022-01-01,,,1.0
10913,2022-04-01,0.0344590446487481,-0.019904396624085188,0.0
10913,2022-07-01,-0.3170841094150067,0.2398170738637268,1.0
10913,2022-10-01,0.024703750614615987,0.27378634828841414,0.0
10913,2023-01-01,-0.10324337686848636,0.34772619922600717,1.0
10913,2023-04-01,-0.26286324257603416,-0.08066870532872372,0.0
10913,2023-07-01,-0.25921799028423426,-0.32346080798534305,1.0
10913,2023-10-01,-0.30578025841038076,-0.0381665652685553,0.0
10913,2024-01-01,-0.3384899106127748,-0.10227939366069111,0.0
10913,2024-04-01,-0.3885389527789159,-0.037478921092306335,1.0
10913,2024-07-01,-0.3132570686332786,-0.272370903674896,0.0
10913,2024-10-01,-0.6947486279565265,-0.29313206329360325,1.0
10913,2025-01-01,-0.27841449178425165,-0.3587290622085761,1.0
10913,2025-04-01,0.03994343856318748,-0.010772006324238253,0.0
10913,2025-07-01,-0.0037832130987325322,-0.010868286529836162,1.0
10913,2025-10-01,-0.09184157422734122,-0.29629762265357745,1.0
