fund_code,year,quarter,anchor_high,cgo
481008,2022,4,0.6903493113661372,0.025603325186793494
481008,2023,1,0.8088371888568199,0.18381430407136962
481008,2023,2,0.7657021310282803,0.09205992542806223
481008,2023,3,0.7912791612768801,0.04546233143682223
481008,2023,4,0.7027905441648284,-0.02074756042949524
481008,2024,1,0.8738341750461415,0.17387417501265504
481008,2024,2,0.844289042404508,0.1065263984078683
481008,2024,3,0.9680681263046627,0.21265295277198765
481008,2024,4,0.8595370472609717,0.07893354839852205
481008,2025,1,0.9195146028715968,0.07158952008856796
481008,2025,2,0.831077988478383,0.0666295169665947
481008,2025,3,0.9603836592449116,0.47385563409256193
481008,2025,4,0.8853181151363044,0.2261951306687647
481008,2026,1,0.8713980005310147,0.25319030110815455
481008,2026,2,0.8709789138964015,0.5038022764929447
481010,2018,2,0.8738788873970477,0.12770978084297782
481010,2018,4,0.7068464841678067,-0.020139490100990157
481010,2019,2,0.9056861442756582,0.35062412690760936
481010,2019,4,0.9199358020183943,0.36057433464323074
481010,2020,1,0.8978737975214133,0.28188201992037176
481010,2020,2,0.9752787658674327,0.5719347340735489
481010,2020,3,0.9593465824645329,0.6480655497690802
481010,2020,4,0.97753544612829,0.634408879251508
481010,2021,1,0.7943757545031238,0.22179430821437274
481010,2021,2,0.9598967244924174,0.48877563575034527
481010,2021,3,0.9223155874433827,0.601970425420683
481010,2021,4,0.8755421550849078,0.33325088840943423
481010,2022,1,0.7807412414657767,0.09019135763013027
481010,2022,2,0.8606824004641019,0.16915949223418006
481010,2022,3,0.8695087054622775,0.17916727878132765
481010,2022,4,0.7501640311882873,0.06646735748700085
481010,2023,1,0.748031996692475,-0.006668091441157149
481010,2023,2,0.7813955950722589,0.07979266715642828
481010,2023,3,0.7333010734334917,-0.0786618114392323
481010,2023,4,0.6784372246189829,-0.07536697432796272
481010,2024,1,0.7299866105046764,-0.04090474587415245
481010,2024,2,0.5756425181572947,-0.10838017276180809
481010,2024,3,0.6982582708204857,0.06556781383090296
481010,2024,4,0.6853186340616448,0.1424575513853448
481010,2025,1,0.807572995351014,0.28343471395195463
481010,2025,2,0.7061988409576576,0.1324997172678536
481010,2025,3,0.9071016940485961,0.6530713129879822
481010,2025,4,0.8575890778028374,0.4003729797552225
481010,2026,1,0.8648229339340795,0.43194051944360606
481010,2026,2,0.9833153248220948,1.343788377143338
481015,2018,2,0.8676327109757291,0.09769684441037826
481015,2018,4,0.6841670045257816,-0.06265548791153587
481015,2019,2,0.8913172069143821,0.33652530504563644
481015,2019,4,0.9139224404865983,0.34309692636833694
481015,2020,1,0.9079633562346228,0.28221372116886745
481015,2020,2,0.9767414799486503,0.55563921430893
481015,2020,3,0.97876738829499,0.6561167628771312
481015,2020,4,0.9825938489171175,0.6630290606186541
481015,2021,1,0.817585092081299,0.2546554390458852
481015,2021,2,0.968041749658853,0.5041463969290045
481015,2021,3,0.9191223735286833,0.6112916746877379
481015,2021,4,0.8625151485890807,0.3162315261142179
481015,2022,1,0.7516491678236011,0.10427202390540792
481015,2022,2,0.8487524343394555,0.1289460799632069
481015,2022,3,0.8277213982203518,0.12946020273942788
481015,2022,4,0.7354423858264536,0.07317983628348894
481015,2023,1,0.7835299977612087,0.18917108366499052
481015,2023,2,0.7786248331884592,0.1990211165194297
481015,2023,3,0.6988718583567989,0.015455578336946227
481015,2023,4,0.7500582513381846,0.03217425382801169
481015,2024,1,0.66402842348257,-0.10683686426177776
481015,2024,2,0.7344547503392806,0.10633168202921076
481015,2024,3,0.8820227386305312,0.19909362287257137
481015,2024,4,0.8368754079957359,0.26026067353488597
481015,2025,1,0.8708872920451101,0.16352334040213692
481015,2025,2,0.8069264437644927,0.13943096099002444
481015,2025,3,1.0,0.5618542941292207
481015,2025,4,0.9515546034177492,0.4867170408590503
481015,2026,1,0.8589910989112675,0.32598513567741905
481015,2026,2,1.0,1.2725737261251246
501026,2016,4,0.8201788524744007,-0.026048807918415295
501026,2017,1,0.8591295777927214,0.002331590700346291
501026,2017,2,0.790564174013539,-0.05841554416452028
501026,2017,3,0.8634616773503685,0.08928937270936498
501026,2017,4,0.7809806848015116,0.014996553392516779
501026,2018,1,0.7349996753314229,-0.010385060086773057
501026,2018,2,0.7029674881317098,-0.07749618670082477
501026,2018,3,0.750404596110091,-0.060008348065054215
501026,2018,4,0.6066259008134676,-0.13442167614860992
501026,2019,1,0.7707087237679364,0.10148022531032352
501026,2019,2,0.8089986929810463,0.1394706906327173
501026,2019,3,0.851150245730322,0.16855260331494573
501026,2019,4,0.9031098866156103,0.1390625549648865
501026,2020,1,0.8675969377746705,0.21033637328279037
501026,2020,2,0.9212562327668723,0.2902640402734845
501026,2020,3,0.8517256764527207,0.1440336370804542
501026,2020,4,0.9516291417500392,0.3855788733012817
501026,2021,1,0.8588614013764732,0.11053836760858884
501026,2021,2,0.878904686195577,0.13728916097244231
501026,2021,3,0.8508341352766726,0.0813199098138667
501026,2021,4,0.7405350684028108,-0.005997660910222902
