spec,var,beta,se,t,n,r2,r2_adj
M4_daily_full,ARG,-0.0169952566570833,0.14033417919529775,-0.12110561200797453,1502,0.08437982442734349,0.07326643052288773
M4_daily_full,de,-0.002341521068074861,0.10095607253976668,-0.02319346433720006,1502,0.08437982442734349,0.07326643052288773
M4_daily_full,lsv,0.014696905028272311,1.2323119989143823,0.011926285746807382,1502,0.08437982442734349,0.07326643052288773
M4_daily_full,risk_asym,0.018571259540925793,0.11540213494908752,0.1609264815518271,1502,0.08437982442734349,0.07326643052288773
M4_daily_full,ff5_MKT_excess,0.012032683282617447,4.270732847084983,0.0028174750595393564,1502,0.08437982442734349,0.07326643052288773
M4_daily_full,ff5_SMB,-0.005959905923972603,2.4447610186784443,-0.0024378276152301906,1502,0.08437982442734349,0.07326643052288773
M4_daily_full,ff5_HML,-0.029448995614057293,2.916506348605298,-0.010097353509324638,1502,0.08437982442734349,0.07326643052288773
M4_daily_full,ff5_RMW,0.024253175930895113,11.712273792648473,0.002070748717137938,1502,0.08437982442734349,0.07326643052288773
M4_daily_full,ff5_CMA,0.05677268222786113,13.744811350261655,0.004130481007058738,1502,0.08437982442734349,0.07326643052288773
M4_daily_full,idio_vol_annual,0.03300305770355005,0.5300338573488886,0.06226594253549008,1502,0.08437982442734349,0.07326643052288773
M4_daily_full,TM_beta2,8.587963210382051e-05,0.002835194301157163,0.03029056317895722,1502,0.08437982442734349,0.07326643052288773
M4_daily_full,factor_drift,0.03674147718095753,0.16042369034865683,0.2290277520801662,1502,0.08437982442734349,0.07326643052288773
