fund_code,report_date,rc_mom,n_stk
519026,2022-01-01,0.16783216783216784,12
519026,2022-04-01,0.5151515151515151,10
519026,2022-07-01,-0.2879120879120879,14
519026,2023-01-01,-0.13939393939393938,10
519026,2023-07-01,0.15454545454545454,11
519026,2024-01-01,0.20000000000000004,11
519026,2024-07-01,0.309090909090909,10
519026,2024-10-01,-0.5151515151515151,10
519026,2025-01-01,0.13636363636363638,11
519026,2025-07-01,0.21403508771929824,19
519026,2026-01-01,0.0029411764705882353,16
519035,2017-07-01,-0.011693548387096776,31
519035,2017-10-01,-0.16363636363636364,10
519035,2018-01-01,0.08866995073891623,29
519035,2018-07-01,0.06160411423569319,38
519035,2018-10-01,-0.22727272727272727,11
519035,2019-01-01,0.3255347593582888,33
519035,2019-04-01,-0.2727272727272727,10
519035,2019-07-01,-0.3947580645161291,31
519035,2020-01-01,-0.0875668449197861,33
519035,2020-04-01,-0.19999999999999998,10
519035,2020-07-01,0.07653276955602537,44
519035,2020-10-01,-0.02097902097902098,12
519035,2021-01-01,0.2582995951417004,39
519035,2021-04-01,0.4125874125874127,12
519035,2021-07-01,-0.037312616259984686,38
519035,2021-10-01,0.15454545454545454,11
519035,2022-01-01,-0.015963049995948466,42
519035,2022-04-01,-0.4055944055944056,12
519035,2022-07-01,0.3974789915966387,35
519035,2022-10-01,0.7454545454545454,10
519035,2023-01-01,0.03346774193548387,31
519035,2023-04-01,-0.11515151515151514,10
519035,2023-07-01,0.14923076923076922,25
519035,2023-10-01,0.05454545454545454,10
519035,2024-01-01,0.2704686617730096,22
519035,2024-04-01,-0.04242424242424241,10
519035,2024-07-01,0.14130434782608697,23
519035,2024-10-01,-0.18787878787878787,10
519035,2025-01-01,0.0823931623931624,26
519035,2025-04-01,0.04242424242424241,10
519035,2025-07-01,0.09090909090909091,21
519035,2026-01-01,0.3064713064713065,27
519068,2017-07-01,0.21978021978021978,13
519068,2017-10-01,0.10909090909090911,11
519068,2018-01-01,-0.05357142857142857,15
519068,2018-04-01,0.09090909090909088,10
519068,2018-07-01,0.5760869565217391,23
519068,2018-10-01,0.30069930069930073,12
519068,2019-01-01,0.012030075187969924,20
519068,2019-04-01,-0.29696969696969694,10
519068,2019-07-01,0.23433088650479958,22
519068,2019-10-01,0.3272727272727273,11
519068,2020-01-01,0.025409373235460195,22
519068,2020-04-01,-0.5515151515151515,10
519068,2020-07-01,0.17593984962406017,20
519068,2020-10-01,0.05454545454545454,10
519068,2021-01-01,0.23658949745906271,22
519068,2021-04-01,0.4090909090909091,11
519068,2021-07-01,0.21804511278195485,20
519068,2021-10-01,0.5454545454545455,12
519068,2022-01-01,0.09578544061302681,28
519068,2022-07-01,0.22162162162162163,36
519068,2022-10-01,0.22424242424242422,10
519068,2023-01-01,0.04830655666521928,48
519068,2023-07-01,0.3213191420738591,53
519068,2023-10-01,-0.43636363636363645,11
519068,2024-01-01,-0.052965186074429765,50
519068,2024-04-01,0.6969696969696969,10
519068,2024-07-01,0.02460317460317461,55
519068,2024-10-01,-0.18787878787878787,10
519068,2025-01-01,0.06381195626147339,67
519068,2025-04-01,0.10303030303030303,10
519068,2025-07-01,0.20348211264572888,58
519068,2025-10-01,-0.32121212121212117,10
519068,2026-01-01,0.07908407382091592,56
519068,2026-04-01,-0.6363636363636362,10
519069,2017-04-01,0.4000000000000001,11
519069,2017-07-01,0.49624060150375937,20
519069,2017-10-01,0.1515151515151515,10
519069,2018-01-01,0.09768492377188029,22
519069,2018-04-01,-0.005494505494505494,13
519069,2018-07-01,0.05826086956521739,24
519069,2018-10-01,-0.4545454545454546,12
519069,2019-01-01,-0.36173913043478256,24
519069,2019-04-01,-0.1076923076923077,14
519069,2019-07-01,-0.247783251231527,29
519069,2019-10-01,0.5944055944055945,12
519069,2020-01-01,-0.0024630541871921174,29
519069,2020-04-01,-0.6083916083916086,12
519069,2020-07-01,0.30608504398826974,32
519069,2020-10-01,-0.6791208791208792,14
519069,2021-01-01,0.11093951093951093,36
519069,2021-04-01,-0.006993006993006993,12
519069,2021-07-01,0.3433155080213904,34
519069,2021-10-01,-0.06666666666666665,10
519069,2022-01-01,0.16377005347593585,33
519069,2022-04-01,-0.1328671328671329,12
519069,2022-07-01,0.2943270300333704,30
519069,2022-10-01,0.2447552447552448,12
519069,2023-01-01,-0.11708683473389356,35
519069,2023-04-01,-0.16363636363636366,11
519069,2023-07-01,0.3697580645161291,31
519069,2023-10-01,-0.34615384615384615,13
519069,2024-01-01,0.22070248386037858,38
519069,2024-04-01,-0.2867132867132868,12
519069,2024-07-01,0.14137931034482754,29
519069,2024-10-01,0.17575757575757575,10
519069,2025-01-01,-0.08504398826979472,32
519069,2025-04-01,-0.12637362637362637,13
519069,2025-07-01,0.10892172961138478,28
519069,2025-10-01,0.10909090909090911,11
519069,2026-01-01,0.3476923076923077,25
519069,2026-04-01,-0.35664335664335667,12
519069,2026-07-01,0.7212121212121211,10
519089,2019-07-01,-0.33571428571428563,15
519089,2020-01-01,-0.29901960784313725,17
519089,2020-07-01,-0.17108977978543197,22
519089,2021-01-01,0.36764705882352944,16
519089,2021-04-01,0.04242424242424241,10
519089,2021-07-01,0.1993224167137211,22
519089,2022-01-01,-0.49011857707509887,23
519089,2022-07-01,-0.03968253968253968,27
519089,2023-01-01,-0.08639186900056467,22
519089,2023-07-01,-0.10714285714285714,15
519089,2023-10-01,-0.28484848484848485,10
519089,2024-01-01,-0.2820250997939601,45
519089,2024-04-01,-0.05454545454545454,10
519089,2024-07-01,0.3939393939393939,44
519089,2025-01-01,0.0615009365102733,41
519089,2025-04-01,0.18787878787878787,10
519089,2025-07-01,0.2036585365853659,41
519089,2025-10-01,0.13373921960961418,10
519089,2026-01-01,-0.006568144499178982,28
519089,2026-04-01,-0.12727272727272726,10
519089,2026-07-01,0.10303030303030303,10
519110,2019-01-01,0.13003842116382197,41
519110,2019-07-01,-0.014370893988134738,34
519110,2020-01-01,-0.016018309248124724,42
519110,2020-07-01,0.23158729882621953,36
519110,2021-01-01,-0.12055335968379448,23
519110,2021-07-01,0.28921568627450983,17
519110,2022-01-01,-0.007112375533428163,37
519110,2022-07-01,0.273109243697479,35
519110,2023-01-01,0.30143543521441885,24
519110,2023-07-01,0.465668621684861,18
519110,2024-01-01,0.4636363636363636,21
519110,2024-07-01,-0.075,15
519110,2025-01-01,-0.14285714285714282,15
519110,2025-07-01,0.023846153846153843,25
519110,2026-01-01,0.34313725490196084,17
519110,2026-04-01,-0.6363636363636362,10
519158,2019-01-01,-0.2652218782249742,18
519158,2019-07-01,0.07707509881422926,23
519158,2020-01-01,-0.11562196127830318,21
519158,2020-04-01,-0.01818181818181818,10
519158,2020-07-01,0.5235294117647059,16
519158,2021-01-01,0.23308270676691725,20
519158,2021-07-01,0.27223949122876234,22
519158,2022-01-01,0.06914344685242517,18
519158,2022-07-01,-0.13565217391304346,24
519158,2023-04-01,0.11515151515151514,10
519158,2023-07-01,0.13725490196078433,17
519158,2023-10-01,0.7294866524160775,10
519158,2024-01-01,0.31578947368421056,19
519158,2024-07-01,-0.16923076923076924,14
519158,2025-01-01,0.45454545454545453,11
519158,2025-07-01,0.0979020979020979,12
519172,2018-07-01,0.2982456140350877,18
519172,2018-10-01,0.690909090909091,11
519172,2019-01-01,0.45974025974025967,21
519172,2019-07-01,0.28484848484848485,10
519172,2020-01-01,-0.07142857142857141,15
519172,2020-07-01,0.25274725274725274,13
519172,2021-07-01,-0.06315789473684211,19
519172,2022-01-01,0.06764705882352941,16
519172,2022-04-01,-0.16083916083916086,12
519172,2022-07-01,0.011731280408540887,32
519172,2022-10-01,0.6363636363636362,10
519172,2023-01-01,0.03157894736842105,20
519172,2023-07-01,0.4206662902315077,22
519172,2023-10-01,-0.2121212121212121,10
519172,2024-01-01,-0.14153846153846153,25
519172,2024-07-01,0.1575381140598532,22
519172,2025-01-01,0.37272727272727274,21
519172,2025-07-01,0.08248588887067819,22
519172,2026-01-01,0.47543859649122805,19
519173,2018-07-01,0.06813186813186813,14
519173,2019-01-01,0.41503759398496237,20
519173,2019-07-01,0.28484848484848485,10
519173,2020-01-01,-0.07142857142857141,15
519173,2020-07-01,0.2088235294117647,16
519173,2020-10-01,-0.013986013986013986,12
519173,2021-01-01,0.06293706293706294,12
519173,2021-07-01,-0.06315789473684211,19
519173,2022-01-01,0.06764705882352941,16
519173,2022-07-01,0.03870967741935485,31
519173,2023-01-01,-0.07107843137254903,17
519173,2023-07-01,0.4206662902315077,22
519173,2023-10-01,-0.2121212121212121,10
519173,2024-01-01,-0.14153846153846153,25
519173,2024-07-01,0.1575381140598532,22
519173,2025-01-01,0.37272727272727274,21
519173,2025-07-01,0.08248588887067819,22
519173,2026-01-01,0.47543859649122805,19
519181,2019-01-01,0.3663570691434469,18
519181,2019-07-01,0.26593406593406593,14
519181,2020-01-01,0.19705882352941176,16
519181,2020-07-01,0.31343295662099707,19
519181,2021-01-01,0.24396271438809378,42
519181,2021-07-01,-0.06622879036672139,28
519181,2022-01-01,0.14285714285714285,13
519181,2022-04-01,0.5393939393939393,10
519181,2022-07-01,-0.178021978021978,14
519181,2022-10-01,0.6,10
519181,2023-01-01,-0.5736263736263736,14
519181,2023-07-01,0.5428571428571428,15
519181,2023-10-01,-0.29696969696969694,10
519181,2024-01-01,-0.014285714285714282,15
519181,2024-07-01,0.6013986013986015,12
519181,2025-01-01,0.3706293706293707,12
519181,2025-07-01,0.23219814241486067,18
519181,2025-10-01,-0.2606060606060606,10
519181,2026-01-01,-0.2121212121212121,10
519181,2026-07-01,0.38181818181818183,10
519185,2019-01-01,0.15979672501411638,22
519185,2019-07-01,0.1404124751231778,19
519185,2020-01-01,0.27384615384615385,25
519185,2020-07-01,0.3639097744360902,20
519185,2021-01-01,0.5736263736263736,14
519185,2021-07-01,0.16363636363636366,11
519185,2022-01-01,0.10000000000000002,11
519185,2022-07-01,0.5636363636363637,11
519185,2023-01-01,0.09090909090909093,12
519185,2023-07-01,0.0989010989010989,14
519185,2023-10-01,0.06666666666666665,10
519185,2024-01-01,-0.35000000000000003,16
519185,2024-04-01,-0.10000000000000002,11
519185,2024-07-01,0.34584262490184037,16
519185,2024-10-01,-0.10909090909090911,11
519185,2025-01-01,0.2517482517482518,12
519185,2025-04-01,0.07878787878787878,10
519185,2025-07-01,-0.15294117647058825,16
519185,2025-10-01,0.5272727272727273,11
519185,2026-01-01,-0.4382352941176471,16
519185,2026-04-01,-0.19999999999999998,10
519670,2019-01-01,0.06666666666666665,10
519670,2019-07-01,0.16363636363636364,10
519670,2020-04-01,0.5272727272727272,10
519670,2020-07-01,0.21978021978021978,13
519670,2021-01-01,-0.27272727272727276,11
519670,2021-07-01,-0.22352941176470587,16
519670,2022-01-01,-0.3207792207792208,21
519670,2022-07-01,0.4535714285714285,15
519670,2023-01-01,0.11331599941890441,28
519670,2023-07-01,0.1111111111111111,28
519670,2024-01-01,0.11688311688311688,22
519670,2024-07-01,0.16444444444444445,26
519670,2024-10-01,0.18787878787878787,10
519670,2025-01-01,0.15927704673549994,22
519670,2025-04-01,0.0303030303030303,10
519670,2025-07-01,-0.10378510378510379,27
519670,2026-01-01,0.37154150197628455,23
519670,2026-04-01,0.43030303030303024,10
519672,2020-07-01,0.26363636363636367,11
519672,2021-01-01,0.16043956043956045,14
519672,2021-07-01,0.4107142857142856,15
519672,2022-01-01,0.09090909090909091,11
519672,2022-07-01,0.42142857142857143,15
519672,2023-01-01,0.18627450980392157,17
