fund_code,year,mkt2_mean,n_days
1198,2023,9.82096774663666e-05,484
1198,2024,0.00012074188131685313,484
1198,2025,0.00013718187835461877,485
1198,2026,9.07999055118287e-05,299
12301,2022,0.00013395763628023285,265
12301,2023,9.82096774663666e-05,484
12301,2024,0.00012074188131685313,484
12301,2025,0.00013718187835461877,485
12301,2026,9.07999055118287e-05,299
12456,2022,0.0001214091203700763,308
12456,2023,9.82096774663666e-05,484
12456,2024,0.00012074188131685313,484
12456,2025,0.00013718187835461877,485
12456,2026,9.07999055118287e-05,299
12457,2022,0.0001214091203700763,308
12457,2023,9.82096774663666e-05,484
12457,2024,0.00012074188131685313,484
12457,2025,0.00013718187835461877,485
12457,2026,9.07999055118287e-05,299
1267,2016,0.00039474569293416556,388
1267,2017,0.00012870606087436696,488
1267,2018,9.94979535814225e-05,487
1267,2019,0.00015397045530891122,487
1267,2020,0.0001660678296102018,487
1267,2021,0.0001385099331417171,486
1267,2022,0.0001145390831437884,485
1267,2023,9.82096774663666e-05,484
1267,2024,0.00012074188131685313,484
1267,2025,0.00013718187835461877,485
1267,2026,9.07999055118287e-05,299
13107,2022,0.0001384861282549756,252
13107,2023,9.82096774663666e-05,484
13107,2024,0.00012074188131685313,484
13107,2025,0.00013718187835461877,485
13107,2026,9.07999055118287e-05,299
13108,2022,0.0001384861282549756,252
13108,2023,9.82096774663666e-05,484
13108,2024,0.00012074188131685313,484
13108,2025,0.00013718187835461877,485
13108,2026,9.07999055118287e-05,299
13238,2022,0.00014161236163765054,226
13238,2023,9.771255263892352e-05,461
13238,2024,0.00012074188131685313,484
13238,2025,0.00013718187835461877,485
13238,2026,9.07999055118287e-05,299
13239,2022,0.00014161236163765054,226
13239,2023,9.771255263892352e-05,461
13239,2024,0.00012074188131685313,484
13239,2025,0.00013718187835461877,485
13239,2026,9.07999055118287e-05,299
13312,2022,0.00011863487158545069,330
13312,2023,9.82096774663666e-05,484
13312,2024,0.00012074188131685313,484
13312,2025,0.00013718187835461877,485
13312,2026,9.07999055118287e-05,299
13369,2023,7.418352564952227e-05,414
13369,2024,0.00012074188131685313,484
13369,2025,0.00013718187835461877,485
13369,2026,9.07999055118287e-05,299
13370,2023,7.418352564952227e-05,414
13370,2024,0.00012074188131685313,484
13370,2025,0.00013718187835461877,485
13370,2026,9.07999055118287e-05,299
13840,2022,0.00014326235653318496,224
13840,2023,9.771255263892352e-05,461
13840,2024,0.00012074188131685313,484
13840,2025,0.00013718187835461877,485
13840,2026,9.07999055118287e-05,299
13841,2022,0.00014326235653318496,224
13841,2023,9.771255263892352e-05,461
13841,2024,0.00012074188131685313,484
13841,2025,0.00013718187835461877,485
13841,2026,9.07999055118287e-05,299
13949,2022,0.00012586324517576154,288
13949,2023,9.82096774663666e-05,484
13949,2024,0.00012074188131685313,484
13949,2025,0.00013718187835461877,485
13949,2026,9.07999055118287e-05,299
1407,2016,0.00039724269961935243,385
1407,2017,0.00012870606087436696,488
1407,2018,9.94979535814225e-05,487
1407,2019,0.00015397045530891122,487
1407,2020,0.0001660678296102018,487
1407,2021,0.0001385099331417171,486
1407,2022,0.0001145390831437884,485
1407,2023,9.82096774663666e-05,484
1407,2024,0.00012074188131685313,484
1407,2025,0.00013718187835461877,485
1407,2026,9.07999055118287e-05,299
1411,2016,0.00039980402302736655,377
1411,2017,0.00012870606087436696,488
1411,2018,9.94979535814225e-05,487
1411,2019,0.00015397045530891122,487
1411,2020,0.0001660678296102018,487
1411,2021,0.0001385099331417171,486
1411,2022,0.0001145390831437884,485
1411,2023,9.82096774663666e-05,484
1411,2024,0.00012074188131685313,484
1411,2025,0.00013718187835461877,485
1411,2026,9.07999055118287e-05,299
1412,2016,0.000397358786515657,376
1412,2017,0.00012870606087436696,488
1412,2018,9.94979535814225e-05,487
1412,2019,0.00015397045530891122,487
1412,2020,0.0001660678296102018,487
1412,2021,0.0001385099331417171,486
1412,2022,0.0001145390831437884,485
1412,2023,9.82096774663666e-05,484
1412,2024,0.00012074188131685313,484
