fund_code,composite,ff5_adj_return,V0 现行(对照),V1 优先级修正,V2 分位数交集,V3 综合分末十分位,V4 剔风险转化后末十分位
519005,-0.1495278247474639,0.0183555369751689,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
519013,-0.321858784850771,0.0074893499573407,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),高换手噪声型(输家)
519018,-0.4522442012748222,0.0058540112785649,均衡型(其他),均衡型(其他),均衡型(其他),高换手噪声型(输家),均衡型(其他)
519026,0.020048925952855,0.0358804139912185,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型
519089,-0.1341718549719268,0.0202363100968619,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
519110,-0.4644475066229591,0.0009157517063031,均衡型(其他),均衡型(其他),高换手噪声型(输家),高换手噪声型(输家),高换手噪声型(输家)
519158,-0.4227274657049665,-0.0108870044073117,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
519172,-0.2082692973146783,0.0163529614237606,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
519173,-0.1737774232909454,0.0143513048429317,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
519181,-0.1479291438415102,0.0321758787958522,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
519185,-0.0411322980749038,0.0371066412888089,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型
519670,-0.2105774985056206,0.0248412302872625,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
519672,-0.113334497015896,0.0184056204074003,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
519674,0.2925127783988518,0.0432231729813672,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型
519679,-0.2109110141386286,0.0200712088128796,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
519688,-0.330878525478097,0.0084335144521205,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
519698,-0.2850569790485017,0.008386301525097,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
519704,-0.2986419881658459,0.0074123020035549,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),高换手噪声型(输家)
519770,0.1172400323920959,0.0376355243517906,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
519771,0.115157936073384,0.0377821022107242,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
