fund_code,基金简称,基金经理人,management_company,基本面优势,认知能力,配置选择能力,风险应对能力,风险转化能力,交易执行能力,综合能力,ff5_alpha,quarter_return,grp
9708,工银新兴制造混合C,马丽娜,工银瑞信基金,0.3767186192561809,-0.0798608903983729,-0.3637024652212889,-0.355537236535165,0.5354673234198439,0.6805359483079747,0.1322702164715287,0.0370220395263921,0.1034490194707678,Q4
9808,易方达创新成长混合,张琦,易方达基金,-0.1476532326127702,-0.4034683595239708,0.2586573248204463,-0.0675481891949421,-0.626882939398961,0.6432505609543424,-0.0572741391593092,0.0197974039453076,0.068603767381107,Q4
9855,中加新兴成长混合A,于成琨、黄翱,中加基金,0.822199423726708,0.7641224028958971,-0.5857534284465763,0.653259052651588,-0.1156046960136996,0.623317577242133,0.3602567220093416,0.0488777508186158,0.0832480476049147,Q5最高
9856,中加新兴成长混合C,于成琨、黄翱,中加基金,0.8197534750573672,0.7635703096182695,-0.5857534284465763,0.6526670690127745,-0.1551843439763487,0.623317577242133,0.3530617764179365,0.04778415235509,0.0821529575819656,Q5最高
9913,中信保诚成长动力混合A,杨柳青,中信保诚基金,0.6435593465406977,-0.1603760940767802,0.4844192841217099,0.3789860466217542,-0.204394134929419,0.2820059851644179,0.2373667389070634,0.0349548722132678,0.076412946664713,Q5最高
9993,嘉实前沿创新混合,王贵重、何鸣晓,嘉实基金,0.1418662828399938,-0.7334838872705265,0.2838764086689542,-0.0765259835479835,-0.278180738230037,0.7735191001757022,0.0185118637726838,0.0080292007379845,0.0698678613964614,Q4
10115,易方达远见成长混合A,武阳,易方达基金,-0.1635761355438167,-0.1831429315816861,-0.0686672953731746,0.3653790119120481,-0.10935745575699,0.8488647253892262,0.1149166531742678,0.0135594787440172,0.0920803275490783,Q4
10237,安信创新先锋混合发起A,张天麒、李梓昊,安信基金,0.6386333765155462,-0.0762452225771325,1.5930009230195217,0.3353949086436618,-1.276789664384779,0.3713659349444849,0.2642267093602172,-0.0017386282076819,0.0647843066050284,Q5最高
10238,安信创新先锋混合发起C,张天麒、李梓昊,安信基金,0.5921499755681647,-0.084675453714969,1.59267956402257,0.3343548859945169,-1.3192178593651802,0.4403090664609239,0.2592666964943378,-0.0030135817238213,0.0634987406876542,Q5最高
10335,华宝竞争优势混合A,夏林锋,华宝基金,0.6480482563227551,-0.305935071840825,0.4685754100976762,0.3750254209624551,-1.2273757430779348,0.2634884615789062,0.0369711223405054,-0.0122359057976574,0.0572004858247172,Q4
10389,易方达科益混合A,黄蕴藉,易方达基金,0.3726121875968515,-0.8060972234626114,-0.9973785847835992,-0.1667103089119846,-0.6549104049884574,0.7481196521622306,-0.2507274470645951,0.0044240242318653,0.0335110330892306,Q2
10390,易方达科益混合C,黄蕴藉,易方达基金,0.8424430533182239,-0.950966570226354,-1.0087107001134965,-0.1561806982664138,-0.747911003523555,0.710536462274063,-0.218464909422922,0.0024544969517176,0.0313712504224412,Q2
10415,华泰柏瑞质量精选混合A,陈文凯,华泰柏瑞基金,0.6805710912195773,0.0790823534638496,-1.015279851552139,0.1077439648471341,-1.6292997251138834,0.6266984424328229,-0.1917472874504397,-0.0077034964919926,0.0784130597903418,Q3
10416,华泰柏瑞质量精选混合C,陈文凯,华泰柏瑞基金,0.7577970932187993,0.0784913772051806,-1.015279851552139,0.1067421143018534,-1.6644618940580926,0.6266984424328229,-0.1850021197419292,-0.0089446704456374,0.077138831347278,Q3
10912,国泰成长价值混合A,彭凌志,国泰基金,0.5006029062727387,0.344051324330702,1.2713524292737133,0.8875046902050174,-0.9174624971520412,0.7342186798731936,0.470044588800554,0.0146244764195158,0.0678137158586462,Q5最高
10913,国泰成长价值混合C,彭凌志,国泰基金,0.7354875076341506,0.3559501186550509,1.2712931943749064,0.8867541498782099,-0.965026019796699,0.7256456622759124,0.5016841021702552,0.0133627169148637,0.0665263004564411,Q5最高
11120,富国创新科技混合C,罗擎,富国基金,0.6405917860663378,-0.0188861762379001,0.8741440786034647,0.5920106360616211,-1.369753097123963,0.5071247947444562,0.2042053370190027,0.0075562812412971,0.0665081280349508,Q5最高
11300,易方达智造优势混合A,祁禾,易方达基金,-0.3122809417988603,-0.2903626051138107,-0.1568791864235956,0.285476595196991,-0.3219008540780184,1.621074449217493,0.1375212428333665,0.0342600355394938,0.0625851787019746,Q4
11301,易方达智造优势混合C,祁禾,易方达基金,-0.0263485801770169,-0.2703310960793112,-0.2509724827534687,0.2841879646668152,-0.3633729981729103,1.663487115055596,0.1727749870899506,0.0332321331250756,0.061529641239554,Q4
11369,华商均衡成长混合A,张明昕,华商基金,0.7191380907219441,0.2155064965090568,-0.3264761432207789,-0.0267405031383932,-0.6592276360242696,0.9007343414634577,0.1371557743851695,0.004021816087455,0.1064498376545631,Q4
11370,华商均衡成长混合C,张明昕,华商基金,0.7403278544457798,0.2169135224749481,-0.3088547888983164,-0.0325257129487921,-0.7114461583410899,0.8662548100938479,0.1284449211377295,0.0025295039210241,0.10480933042606,Q4
11399,汇添富数字未来混合A,马磊,汇添富基金,-0.1548608689099671,-0.1377368665628766,0.324416900512827,0.4616209947452975,-1.011867673611203,0.5824086486101889,0.0106635224640445,0.0074716375470087,0.0566214339983451,Q4
11400,汇添富数字未来混合C,马磊,汇添富基金,0.3389622293483596,-0.1399219838880024,0.3298212077601494,0.4490319961086075,-1.0652222006036822,0.629479125380494,0.0903583956843209,0.0062278225836241,0.0553007959794383,Q4
11412,易方达远见成长混合C,武阳,易方达基金,0.3281222768910122,-0.1665885654742633,-0.1184943969587833,0.3949845497098874,-0.1519904970782831,0.9411241679836636,0.2045262558455389,0.012556927245114,0.0910184574177061,Q5最高
11452,华泰柏瑞质量成长C,陈文凯,华泰柏瑞基金,0.7003420304829473,0.0974467470819156,-1.1482032837750955,0.0962181056677497,-1.692891179492927,0.542627257790181,-0.2340767203742047,-0.0167955363808253,0.0623046511807506,Q2
11488,申万菱信乐享混合A,付娟,申万菱信基金,0.1461183804425399,-0.9270780562371496,-0.2412025891942424,-0.1352564012930401,-0.5137523169138464,0.5010802766868003,-0.1950151177514897,0.0081549304012393,0.0690212159332792,Q3
11822,易方达产业升级混合A,祁禾,易方达基金,-0.2862788806671357,-0.4222575731201548,-0.1256340983333988,0.5656554919442449,-0.6317024609709754,1.7692108520111969,0.1448322218106294,0.0432748501721663,0.0626106817696853,Q4
11823,易方达产业升级混合C,祁禾,易方达基金,0.1584710942821482,-0.4221900222835549,-0.1280515849865359,0.5593608162548052,-0.6742091311909709,1.7690881875286746,0.2104115599340943,0.042213429124301,0.0615581914053094,Q5最高
11891,易方达先锋成长混合A,武阳,易方达基金,0.2687211757656329,-0.2794241145133904,-0.3469298164314574,0.7985198076979751,0.0992555336073134,0.9768614983366984,0.2528340140771286,0.0409794292398733,0.1063412331165196,Q5最高
11892,易方达先锋成长混合C,武阳,易方达基金,0.4943056468997151,-0.2804880481451736,-0.345016959891639,0.7989795824536757,0.0620305520810868,0.9875412430746906,0.2862253360787259,0.0399750342420911,0.1052680524569779,Q5最高
12301,易方达核心智造混合,倪春尧,易方达基金,0.1864146380596637,-0.4502803958478332,-0.3743081527487981,0.5999451627222776,-0.5330145635332327,1.7692108520111969,0.1996612567772123,0.0449895143768716,0.0675368745763903,Q5最高
12456,鹏扬数字经济先锋混合A,张勋、章宏帆,鹏扬基金,0.6375326236201325,-0.0066033857997339,0.3317307427262873,0.1925530770815804,-1.359979854292839,0.6019347671985951,0.0661946617556704,0.011175845839296,0.0639603243156907,Q4
12457,鹏扬数字经济先锋混合C,张勋、章宏帆,鹏扬基金,0.9690779908912086,-0.0081229359819407,0.3311357592709503,0.1904035980834989,-1.4372406584277744,0.6333928190788545,0.1131077621524661,0.0091530316035533,0.0619061324379269,Q4
13107,华夏先进制造龙头混合A,高翔,华夏基金,0.7053038124201482,-0.6891263474440994,1.7983309679796975,0.2621005621206113,-0.2714673458580324,1.1585244424560808,0.4939443486124009,0.0492602217459781,0.1019018193658849,Q5最高
13108,华夏先进制造龙头混合C,高翔,华夏基金,0.669914372133401,-0.6890771420399582,1.7983309679796975,0.260969517154952,-0.327948587048777,1.1585244424560808,0.478452261772566,0.0476892116285283,0.1002843255906311,Q5最高
13238,财通均衡优选一年持有混合A,贾雅楠,财通基金,0.878187904198679,-0.9405819638015552,-1.118425698181143,-0.7134108075497712,-0.7470960156346339,0.5105806929647992,-0.3551243146672707,0.0141538245238417,0.0801942960887171,Q2
13239,财通均衡优选一年持有混合C,贾雅楠,财通基金,0.9540767671959256,-1.062529424491471,-1.120162487146426,-0.713376879233647,-0.8179326863738767,0.7377459558243791,-0.3370297923708527,0.0121435755780717,0.0781131265094699,Q2
13312,工银主题策略混合C,林念,工银瑞信基金,0.8235181453331508,-0.0845748391032146,0.906469685293384,0.3330050792179803,-1.921167337958088,0.7456146109523298,0.1338108906225904,-0.0085691263078614,0.065922447087741,Q4
