fund_code,认知能力,配置选择能力,风险应对能力,风险转化能力,交易执行能力,综合能力,ff5_alpha,quarter_return
2451,0.3077462256853974,-0.4524450343396202,0.011254571968747545,0.2652711280443567,0.9846290590618576,0.2232911900841478,0.0233036862837639,0.05539475152168175
2692,0.21717690579609142,0.8072902799148624,0.16137365526074687,-0.6159931952189114,-0.8837361591607771,-0.06277770268159759,0.013175884085027099,0.08159781061313451
2910,-0.3454946845648735,-0.0848066046072499,0.07147842210583422,0.6151480543699783,0.06157322654771846,0.06357968277028152,0.0281094749503532,0.07355848803897073
3567,-0.128983729212609,-0.44224373294005137,-0.7479526914774625,0.5904326181708988,-0.712810689706967,-0.28831164503323825,0.0503623635101491,0.07931610137101962
3857,-0.07578661922432764,-1.4583334628109745,0.21787509192807492,0.4619019461401836,0.6962615867198225,-0.03161629144944422,0.029847331736130103,0.06814443967681809
3858,-0.06569484127035265,-1.4590620812089983,0.22023069099162254,0.43812603239845666,0.5788992948258036,-0.057500180852693636,0.0294571018394105,0.06775127189722144
3961,-0.17240484717227197,-0.06403483466564647,0.2723122955613713,0.8350125223420771,0.7460012461255594,0.3233772764382179,0.0254938973250571,0.06547415295233446
3962,-0.14729399558738113,-0.09606492925970403,0.2973579505540608,0.8252000152970221,0.8465431786982707,0.3451484439404537,0.0248627711471396,0.06546791414036518
4148,0.020974040709153374,-0.42002880153963573,-0.5405032784634317,0.08183167338393216,-0.3834844792129526,-0.2482421690245869,0.025793532719058,0.053230448826177584
4232,-0.6194897207485214,-0.851489942608542,-1.2703615641413677,0.21102835132983336,0.5473930274036769,-0.39658396975298416,-0.0094053448255705,0.025557022478927563
4320,0.073158728521876,-0.18203972146914177,-0.23314563845050262,0.09782347094970617,0.2147394850618914,-0.005892735077234168,0.0368000398299674,0.07699133360639529
4374,-0.4336754828117386,-1.3172125073365424,-0.9196069612218158,-0.20373441846423926,-0.3297887502266475,-0.6408036240121968,9.507252347873168e-05,0.04849095065150414
4375,-0.4336309838682988,-1.338253624228635,-0.9194949310854738,-0.22490263543517433,-0.33764704025140374,-0.6507858429737972,-0.0004091353196684,0.04797304749965156
