fund_code,report_date,sharpe8_lag,sortino8_lag,rc_mom,oc_conf
40008,2026-01-01,0.21993778200014308,1.6134806545093179,-0.2539682539682539,
40008,2026-04-01,0.31748869380311917,,,
40008,2026-07-01,0.26650294993108053,1.0688316776403688,,
40011,2020-04-01,,,,
40011,2020-07-01,,,0.2272727272727272,0.0
40011,2020-10-01,,,,0.0
40011,2021-01-01,,,0.6090909090909091,-73.76969448146299
40011,2021-04-01,0.9095691420939935,,,0.0
40011,2021-07-01,0.6434224716870182,,0.0773993808049535,0.0
40011,2021-10-01,0.7809769940445291,,,0.0
40011,2022-01-01,0.6514607230582292,,0.1252747252747253,-0.0
40011,2022-04-01,0.6602924891584439,,,0.0
40011,2022-07-01,0.5168977618197346,,-0.1117647058823529,0.0
40011,2022-10-01,0.49811675281953255,,-0.1757575757575757,0.0
40011,2023-01-01,0.1154509571057511,0.21819812783656345,-0.2937062937062937,-0.0
40011,2023-04-01,-0.05404342046270519,-0.0857541346980318,0.1878787878787878,0.0
40011,2023-07-01,0.04647898714909714,,0.0593406593406593,-65.46878487587189
40011,2023-10-01,-0.2570562730099453,-0.42191521883130195,0.006060606060606,0.0
40011,2024-01-01,-0.2860661902030381,-0.5719242111569656,-0.0513833992094861,0.0
40011,2024-04-01,-0.42216901858295125,-0.7808398196053095,,0.0
40011,2024-07-01,-0.275417006512358,-0.4032323886029413,0.2551724137931034,0.0
40011,2024-10-01,-0.6071027754084842,-0.7167775496471379,-0.0666666666666666,0.0
40011,2025-01-01,-0.16798582902282908,-0.278454583538025,0.0818393329136532,17.159757068277003
40011,2025-04-01,-0.326506444465608,-0.5999435526885047,,0.0
40011,2025-07-01,-0.49580106700868115,-0.8309114026777173,0.3358543417366947,-0.0
40011,2025-10-01,-0.28796557717434595,-0.6736235992242819,,0.0
40011,2026-01-01,0.2604238341069279,1.530147481963078,-0.0789288231148696,
40011,2026-04-01,0.272746298454982,1.793699142726054,-0.3333333333333332,
40011,2026-07-01,0.23179826949821278,1.8168593126432238,0.6969696969696969,
40016,2020-04-01,,,,
40016,2020-07-01,,,0.1334555476136399,-0.0
