fund_code,report_date,TO_wind,TO_wind_clean
2450,2023-07-01,195.179996091421,195.179996091421
2450,2023-10-01,195.179996091421,195.179996091421
2450,2024-01-01,217.922440033681,217.922440033681
2450,2024-04-01,217.922440033681,217.922440033681
2450,2024-07-01,270.830355463455,270.830355463455
2450,2024-10-01,270.830355463455,270.830355463455
2450,2025-01-01,190.624865574808,190.624865574808
2450,2025-04-01,190.624865574808,190.624865574808
2450,2025-07-01,140.906146615877,140.906146615877
2450,2025-10-01,140.906146615877,140.906146615877
2451,2016-07-01,1216.31113615415,1216.31113615415
2451,2016-10-01,1216.31113615415,1216.31113615415
2451,2017-01-01,1498.66303522019,1498.66303522019
2451,2017-04-01,1498.66303522019,1498.66303522019
2451,2017-07-01,1467.81503085836,1467.81503085836
2451,2017-10-01,1467.81503085836,1467.81503085836
2451,2018-01-01,1326.10204293558,1326.10204293558
2451,2018-04-01,1326.10204293558,1326.10204293558
2451,2018-07-01,1389.4168949911,1389.4168949911
2451,2018-10-01,1389.4168949911,1389.4168949911
2451,2019-01-01,200.016626831955,200.016626831955
2451,2019-04-01,200.016626831955,200.016626831955
2451,2019-07-01,125.062912279937,125.062912279937
2451,2019-10-01,125.062912279937,125.062912279937
2451,2020-01-01,169.350532615923,169.350532615923
2451,2020-04-01,169.350532615923,169.350532615923
2451,2020-07-01,175.975730101687,175.975730101687
2451,2020-10-01,175.975730101687,175.975730101687
2451,2021-01-01,198.360948564968,198.360948564968
2451,2021-04-01,198.360948564968,198.360948564968
2451,2021-07-01,325.734424622602,325.734424622602
2451,2021-10-01,325.734424622602,325.734424622602
2451,2022-01-01,244.714289364146,244.714289364146
2451,2022-04-01,244.714289364146,244.714289364146
2451,2022-07-01,229.884010418093,229.884010418093
2451,2022-10-01,229.884010418093,229.884010418093
2451,2023-01-01,228.794498263194,228.794498263194
2451,2023-04-01,228.794498263194,228.794498263194
2451,2023-07-01,195.179996091421,195.179996091421
2451,2023-10-01,195.179996091421,195.179996091421
2451,2024-01-01,217.922440033681,217.922440033681
2451,2024-04-01,217.922440033681,217.922440033681
2451,2024-07-01,270.830355463455,270.830355463455
2451,2024-10-01,270.830355463455,270.830355463455
2451,2025-01-01,190.624865574808,190.624865574808
2451,2025-04-01,190.624865574808,190.624865574808
2451,2025-07-01,140.906146615877,140.906146615877
2451,2025-10-01,140.906146615877,140.906146615877
2692,2017-01-01,486.932047873486,486.932047873486
2692,2017-04-01,486.932047873486,486.932047873486
2692,2017-07-01,521.288400108817,521.288400108817
2692,2017-10-01,521.288400108817,521.288400108817
2692,2018-01-01,579.002179717225,579.002179717225
2692,2018-04-01,579.002179717225,579.002179717225
