fund_code,risk_asym,de,oc_conf,rc_mom,anchor_high,ICI,ISDI,AS_improved,ARG,return_volatility,rsstab_lag,mppm8_lag,sortino8_lag,sharpe8_lag,SDI,lsv,TO_wind_clean,mgr_total_tenure_v2,log_fund_age,log_aum,timing,基金经理人,gender,education,CFA,school,male,has_CFA,master_up,top_school,ff3_alpha,ff5_alpha,ex_hs300
1088,0.006519875987588157,-0.08651279824766649,-1.3820990614149995,0.07568223905339475,0.8162852947404504,0.1179034,0.3349807043048621,0.7820975929265487,0.050695298243807974,0.10607982620407583,-0.020660899334536676,0.029736888914833816,0.23646234478648184,0.08779601116241265,0.4921645733215209,0.07831817837488432,218.14754027336707,1068.52,2.039518024758504,1.1331465279893411,0.0620968575806877,丁靖斐,女,硕士,否,,0.0,0.0,1.0,,0.0256203360710342,0.0099084712319878,0.023697442340516295
1170,0.02193496276756672,-0.22090717233158289,-0.706930034243258,0.10728185155028382,0.8948367233974548,0.19606951612903226,0.3799828226867054,0.8122884520497384,0.17461524928061348,0.14558696831888449,-0.04130355068174773,-0.05211898285854298,-0.06569058052414224,0.13890907440012182,0.0,0.06990887693874755,218.29906216145844,1153.2045454545455,1.4394952528551341,2.0055030816501906,0.0709453339923986,孙硕,男,硕士,否,北京大学,1.0,0.0,1.0,1.0,0.0390513990728303,0.0230825530010874,0.02975863597312457
1184,0.03495916604446175,-0.1452318770853384,7.026305838463511,0.20257162253736338,0.7953192317866422,0.1386794193548387,0.2855148325678652,0.8090159983572307,0.1676637894779301,0.13555918541992518,-0.032566194249241245,-0.11304106181330127,-0.1387169955701221,-0.05417006793300426,0.0,0.07513310374830036,92.88150866050572,787.9318181818181,1.4284601806030472,3.4231925488131876,0.3644091446167552,何一铖,男,硕士,否,,1.0,0.0,1.0,,0.014968730738276,0.0055573141940628,0.010605912586671413
1194,0.03030715029661158,-0.13901806744145848,-22.346115566968532,0.1106909600202086,0.8643785395678233,0.25536257142857144,0.5350370181053482,0.5626604665287278,0.15479871534671832,0.04132468943487174,-0.013218150196062765,0.0606367064892794,0.4698611966150084,0.7713077581881629,0.0,0.08067566325140497,226.90146936560456,624.2272727272727,1.4522757321558615,1.3949144854493019,0.6644455994162999,江山,男,硕士,否,,1.0,0.0,1.0,,0.039125256723135,0.0471055233046176,0.03352575713415609
1198,0.00367987763648101,-0.09950827522337818,-248.82743067571695,0.15072471388260864,0.8090796911755541,0.3401813448275862,0.4307019608332093,0.6702573979830697,0.20070968060617506,0.05996457669099053,-0.017912037492261397,-0.026999972937293244,-0.40444335886270616,0.051087390832793775,0.0,0.1059101303501527,679.6101461126481,713.9090909090909,1.4394952528551341,0.5546754338294382,0.4396741625993549,严凯,男,硕士,否,北京大学微电子学,1.0,0.0,1.0,1.0,0.0122557658559931,0.0216410769014476,0.009293047818144344
1267,0.017938839703874544,-0.22676232676960723,-3.719660921969564,0.14756463531269964,0.8757644153665997,0.14935546666666666,0.446591781855891,0.7721083228278804,0.1803760911444018,0.11843003281313613,-0.030253583520638096,-0.056591690240463746,0.13996624299970448,-0.051241289925127755,0.0,0.05573412279840887,256.68722499939605,601.7954545454545,1.3786618402168587,0.180296795315062,0.0778139680406065,魏成,男,硕士,否,北京大学西方经济学,1.0,0.0,1.0,1.0,0.0173453266402438,0.0147682793306558,0.012564043291898227
1407,0.024252903357359502,0.08541666666666665,-11.110366920453385,,0.8701052357113813,0.3625048421052631,0.6812753754452137,0.505883202771362,0.18762325856727746,0.041659373635221764,-0.013395262735508989,0.055868141764300716,0.4561969306049481,0.6777305221026467,0.0,0.08919632090789321,226.90146936560456,622.8863636363636,1.3692618472585099,0.761596137729803,0.6372183300114895,江山,男,硕士,否,,1.0,0.0,1.0,,0.0378519805481137,0.0456990060087916,0.03233481039004716
1411,0.016605620914705917,-0.09855071328090205,3.9821598041589548,0.013116623144345191,0.796996840281169,0.24385435714285714,0.3983285240133045,0.666882860320291,0.18409462779283567,0.07399105497140446,-0.023125392209212663,-0.03295489227123666,0.1353331184727033,0.07512896378143173,0.0,0.12108675126143703,522.498675386568,794.5681818181819,1.346193828510019,0.886047903065026,0.0241946771286005,左少逸,男,硕士,否,,1.0,0.0,1.0,,0.0112445219367064,0.0207264845833167,0.005138584420520484
1412,0.036208528967719644,-0.06258612155789885,0.33424810205257655,0.06773045615130409,0.8548878462987053,0.19902020689655173,0.35820726316954715,0.6369129032673533,0.18086166035250895,0.07324693430489626,-0.01699080837526391,0.025712364728948195,0.36216129709799394,0.2507353650003351,0.0,0.0744255372577863,272.48330356048706,351.22727272727275,1.343345532017991,0.7062887528567213,0.3320883642758345,陆阳,男,硕士,否,浙江大学,1.0,0.0,1.0,1.0,0.0374851702830615,0.0435415798796138,0.03258582331535195
1437,0.04653219936156134,-0.07973410282266366,-32.26799735261591,0.20483838337105653,0.8402223688463069,0.21204430303030303,0.36179627166230244,0.7514270338682412,0.18811208245786654,0.1219857289960524,-0.03133010147875036,0.07221558000933116,0.6304224343857691,0.2773345201381331,0.0,0.09649505496699821,339.53465499357986,1226.2727272727273,1.3161393415395404,0.9713853330717792,1.303191709835101,武阳,男,硕士,否,,1.0,0.0,1.0,,0.0521045885786336,0.0593786015805047,0.04917778878446379
1438,0.04127923284828673,-0.07619179286186846,-32.26799735261591,0.2260542943773494,0.8429932352084496,0.21361025806451614,0.36585301525664005,0.7773302362719485,0.18712267806330396,0.11135757315091277,-0.03067721835039857,0.053635713686077925,0.557037744767693,0.25083470195598845,0.0,0.09968181990408773,339.53465499357986,1226.2727272727273,1.3161393415395404,0.5604152245653314,0.7820256639217,武阳,男,硕士,否,,1.0,0.0,1.0,,0.0481090373256286,0.0502021692969099,0.043864640844372575
