date,nav,daily_return,fund_code
2020-03-09,2.636,-4.0408,161810
2020-03-10,2.664,1.0622,161810
2020-03-11,2.597,-2.515,161810
2020-03-12,2.513,-3.2345,161810
2020-03-13,2.534,0.8357,161810
2020-03-16,2.4,-5.2881,161810
2020-03-17,2.417,0.7083,161810
2020-03-18,2.436,0.7861,161810
2020-03-19,2.468,1.3136,161810
2020-03-20,2.45,-0.7293,161810
2020-03-23,2.296,-6.2857,161810
2020-03-24,2.336,1.7422,161810
2020-03-25,2.413,3.2962,161810
2020-03-26,2.442,1.2018,161810
2020-03-27,2.415,-1.1057,161810
2020-03-30,2.408,-0.2899,161810
2020-03-31,2.504,3.9867,161810
2020-04-01,2.492,-0.4792,161810
2020-04-02,2.546,2.1669,161810
2020-04-03,2.561,0.5892,161810
2020-04-07,2.662,3.9438,161810
2020-04-08,2.632,-1.127,161810
2020-04-09,2.644,0.4559,161810
2020-04-10,2.592,-1.9667,161810
2020-04-13,2.537,-2.1219,161810
2020-04-14,2.6,2.4832,161810
2020-04-15,2.603,0.1154,161810
2020-04-16,2.612,0.3458,161810
2020-04-17,2.63,0.6891,161810
2020-04-20,2.674,1.673,161810
2020-04-21,2.649,-0.9349,161810
2020-04-22,2.715,2.4915,161810
2020-04-23,2.684,-1.1418,161810
2020-04-24,2.647,-1.3785,161810
2020-04-27,2.676,1.0956,161810
2020-04-28,2.711,1.3079,161810
2020-04-29,2.68,-1.1435,161810
2020-04-30,2.736,2.0896,161810
2020-05-06,2.832,3.5088,161810
2020-05-07,2.856,0.8475,161810
2020-05-08,2.877,0.7353,161810
2020-05-11,2.822,-1.9117,161810
2020-05-12,2.819,-0.1063,161810
2020-05-13,2.84,0.7449,161810
2020-05-14,2.775,-2.2887,161810
2020-05-15,2.817,1.5135,161810
2020-05-18,2.828,0.3905,161810
2020-05-19,2.845,0.6011,161810
2020-05-20,2.774,-2.4956,161810
2020-05-21,2.72,-1.9466,161810
2020-05-22,2.687,-1.2132,161810
2020-05-25,2.695,0.2977,161810
2020-05-26,2.745,1.8553,161810
2020-05-27,2.691,-1.9672,161810
2020-05-28,2.648,-1.5979,161810
2020-05-29,2.674,0.9819,161810
2020-06-01,2.746,2.6926,161810
2020-06-02,2.783,1.3474,161810
2020-06-03,2.774,-0.3234,161810
2020-06-04,2.77,-0.1442,161810
2020-06-05,2.753,-0.6137,161810
2020-06-08,2.739,-0.5085,161810
2020-06-09,2.734,-0.1825,161810
2020-06-10,2.761,0.9876,161810
2020-06-11,2.724,-1.3401,161810
2020-06-12,2.735,0.4038,161810
2020-06-15,2.781,1.6819,161810
2020-06-16,2.801,0.7192,161810
2020-06-17,2.845,1.5709,161810
2020-06-18,2.877,1.1248,161810
2020-06-19,2.92,1.4946,161810
2020-06-22,3.018,3.3562,161810
2020-06-23,3.012,-0.1988,161810
2020-06-24,3.025,0.4316,161810
2020-06-29,3.03,0.1653,161810
2020-06-30,3.102,2.3762,161810
2020-07-01,3.119,0.548,161810
2020-07-02,3.122,0.0962,161810
2020-07-03,3.145,0.7367,161810
2020-07-06,3.286,4.4833,161810
2020-07-07,3.346,1.8259,161810
2020-07-08,3.392,1.3748,161810
2020-07-09,3.528,4.0094,161810
2020-07-10,3.484,-1.2472,161810
2020-07-13,3.699,6.1711,161810
2020-07-14,3.649,-1.3517,161810
2020-07-15,3.56,-2.439,161810
2020-07-16,3.358,-5.6742,161810
2020-07-17,3.398,1.1912,161810
2020-07-20,3.444,1.3537,161810
2020-07-21,3.46,0.4646,161810
2020-07-22,3.522,1.7919,161810
2020-07-23,3.495,-0.7666,161810
2020-07-24,3.401,-2.6896,161810
2020-07-27,3.416,0.441,161810
2020-07-28,3.49,2.1663,161810
2020-07-29,3.549,1.6905,161810
2020-07-30,3.544,-0.1409,161810
2020-07-31,3.57,0.7336,161810
2020-08-03,3.683,3.1653,161810
2020-08-04,3.666,-0.4616,161810
2020-08-05,3.8,3.6552,161810
2020-08-06,3.806,0.1579,161810
2020-08-07,3.757,-1.2874,161810
2020-08-10,3.691,-1.7567,161810
2020-08-11,3.629,-1.6798,161810
2020-08-12,3.555,-2.0391,161810
2020-08-13,3.62,1.8284,161810
2020-08-14,3.627,0.1934,161810
2020-08-17,3.679,1.4337,161810
2020-08-18,3.748,1.8755,161810
2020-08-19,3.723,-0.667,161810
2020-08-20,3.642,-2.1757,161810
2020-08-21,3.656,0.3844,161810
2020-08-24,3.736,2.19,161810
2020-08-25,3.679,-1.53,161810
2020-08-26,3.625,-1.47,161810
2020-08-27,3.659,0.94,161810
2020-08-28,3.723,1.75,161810
2020-08-31,3.739,0.43,161810
2020-09-01,3.777,1.02,161810
2020-09-02,3.753,-0.64,161810
2020-09-03,3.664,-2.37,161810
2020-09-04,3.624,-1.09,161810
2020-09-07,3.463,-4.44,161810
2020-09-08,3.427,-1.04,161810
2020-09-09,3.289,-4.03,161810
2020-09-10,3.275,-0.43,161810
2020-09-11,3.29,0.46,161810
2020-09-14,3.293,0.09,161810
2020-09-15,3.317,0.73,161810
2020-09-16,3.27,-1.42,161810
2020-09-17,3.234,-1.1,161810
2020-09-18,3.288,1.67,161810
2020-09-21,3.272,-0.49,161810
2020-09-22,3.204,-2.08,161810
2020-09-23,3.227,0.72,161810
2020-09-24,3.153,-2.29,161810
2020-09-25,3.146,-0.22,161810
2020-09-28,3.094,-1.65,161810
2020-09-29,3.137,1.39,161810
2020-09-30,3.117,-0.64,161810
2020-10-09,3.177,1.92,161810
2020-10-12,3.285,3.4,161810
2020-10-13,3.348,1.92,161810
