stock_code,bench_weight,benchmark
603737,0.0008799999999999999,000905
603766,0.00193,000905
603786,0.00055,000905
603806,0.0016300000000000002,000905
603816,0.00132,000905
603833,0.00068,000905
603858,0.00089,000905
603885,0.0012900000000000001,000905
603899,0.00091,000905
603920,0.00145,000905
603939,0.00147,000905
603979,0.00296,000905
605358,0.00234,000905
605589,0.00246,000905
688002,0.005679999999999999,000905
688017,0.00415,000905
688018,0.00154,000905
688019,0.0046,000905
688027,0.00253,000905
688037,0.00504,000905
688052,0.00226,000905
688065,0.0017499999999999998,000905
688099,0.00439,000905
688114,0.00133,000905
688120,0.01084,000905
688122,0.00256,000905
688166,0.00107,000905
688169,0.00246,000905
688172,0.0030499999999999998,000905
688180,0.00209,000905
688187,0.00131,000905
688188,0.00181,000905
688192,0.00101,000905
688200,0.005350000000000001,000905
688213,0.0027600000000000003,000905
688220,0.00251,000905
688234,0.00198,000905
688235,0.00315,000905
688248,0.0007599999999999999,000905
688266,0.00241,000905
688278,0.0010199999999999999,000905
688281,0.00098,000905
688295,0.00074,000905
688297,0.00147,000905
688301,0.00196,000905
688313,0.0030399999999999997,000905
688318,0.00113,000905
688322,0.00201,000905
688331,0.00214,000905
688336,0.00078,000905
688343,0.00153,000905
688347,0.01034,000905
688349,0.00077,000905
688361,0.00906,000905
688363,0.0010299999999999999,000905
688375,0.0013800000000000002,000905
688385,0.00196,000905
688387,0.0017299999999999998,000905
688411,0.0023799999999999997,000905
688425,0.00073,000905
688469,0.00418,000905
688475,0.0005,000905
688498,0.01159,000905
688520,0.0005099999999999999,000905
688538,0.0014199999999999998,000905
688561,0.00079,000905
688563,0.00074,000905
688568,0.0014399999999999999,000905
688578,0.0032,000905
688582,0.0008100000000000001,000905
688599,0.00203,000905
688608,0.00218,000905
688615,0.0014399999999999999,000905
688617,0.0020599999999999998,000905
688629,0.00271,000905
688676,0.00189,000905
688692,0.0014399999999999999,000905
688702,0.00449,000905
688708,0.0006,000905
688709,0.0005099999999999999,000905
688728,0.00165,000905
688772,0.00124,000905
688777,0.00628,000905
688778,0.00099,000905
688819,0.00033,000905
689009,0.0027600000000000003,000905
