fund_code,year,quarter,industry_hhi,hhi_normalized,ICI,ICI_normalized,industry_count,industry_max_pct,total_weight_pct
61,2025,3,0.0175,0.107536,0.04328,0.265957,6,19.52,40.34
61,2025,4,0.031767,0.036658,0.121708,0.140447,17,27.67,93.09
73,2018,2,0.056345,0.071294,0.191586,0.242415,11,34.98,88.9
73,2018,4,0.023495,0.045348,0.074373,0.143546,18,22.75,71.98
73,2019,2,0.028717,0.04104,0.069246,0.098961,20,20.24,83.65
73,2019,4,0.035183,0.042005,0.087148,0.104046,14,20.72,91.52
73,2020,1,0.025803,0.113217,0.055275,0.242528,6,20.37,47.74
73,2020,2,0.036844,0.043201,0.081099,0.095091,15,24.08,92.35
73,2020,3,0.030511,0.103177,0.035727,0.120813,8,15.16,54.38
73,2020,4,0.038304,0.046871,0.086092,0.105348,12,18.45,90.4
73,2021,1,0.041133,0.102494,0.082894,0.206552,5,18.32,63.35
73,2021,2,0.045404,0.055621,0.113885,0.139512,13,25.46,90.35
73,2021,3,0.032142,0.106101,0.091023,0.300465,4,26.98,55.04
73,2021,4,0.036604,0.045443,0.081369,0.101016,17,18.32,89.75
73,2022,1,0.02978,0.104825,0.032099,0.112991,8,11.44,53.3
73,2022,2,0.032031,0.045798,0.066343,0.094858,13,17.17,83.63
73,2022,3,0.040075,0.125318,0.212335,0.663983,3,46.56,56.55
73,2022,4,0.03812,0.046958,0.179349,0.220928,16,40.84,90.1
73,2023,1,0.035411,0.110537,0.153867,0.480302,3,38.43,56.6
73,2023,2,0.040906,0.05867,0.141589,0.203075,18,36.05,83.5
73,2023,3,0.040777,0.115763,0.090817,0.257824,6,24.99,59.35
73,2023,4,0.04389,0.05633,0.153452,0.196946,14,34.11,88.27
73,2024,1,0.036618,0.118284,0.096181,0.310682,6,27.5,55.64
73,2024,2,0.037015,0.053563,0.092412,0.133726,18,23.05,83.13
73,2024,3,0.023128,0.13455,0.026465,0.153961,7,11.47,41.46
73,2024,4,0.036535,0.050497,0.067477,0.093262,17,17.25,85.06
73,2025,1,0.030087,0.110249,0.043807,0.160524,6,14.34,52.24
73,2025,2,0.040047,0.045701,0.076493,0.087292,18,16.88,93.61
73,2025,3,0.039485,0.11274,0.045524,0.129984,7,13.45,59.18
73,2025,4,0.048976,0.05964,0.093327,0.113647,11,17.29,90.62
73,2026,1,0.043859,0.105654,0.104161,0.250917,5,26.53,64.43
73,2026,2,0.043378,0.113357,0.103267,0.269862,4,21.02,61.86
263,2018,2,0.024025,0.03997,0.085335,0.141967,16,24.67,77.53
263,2018,4,0.020968,0.0304,0.070875,0.102757,19,23.53,83.05
263,2019,2,0.022842,0.032785,0.05855,0.084037,19,18.13,83.47
263,2019,4,0.023394,0.030576,0.070778,0.092508,16,22.83,87.47
263,2020,1,0.011359,0.103299,0.017222,0.15662,7,10.48,33.16
263,2020,2,0.029287,0.032671,0.069758,0.077818,21,20.11,94.68
263,2020,3,0.015819,0.106609,0.016121,0.108647,8,7.66,38.52
263,2020,4,0.024457,0.028646,0.04253,0.049813,26,11.08,92.4
263,2021,1,0.019221,0.088247,0.022939,0.105317,10,10.65,46.67
263,2021,2,0.028008,0.034023,0.059883,0.072745,27,17.57,90.73
263,2021,3,0.018635,0.096957,0.028089,0.146149,7,11.19,43.84
263,2021,4,0.025582,0.032051,0.075667,0.094801,25,21.6,89.34
263,2022,1,0.014296,0.096299,0.013363,0.090013,9,6.35,38.53
263,2022,2,0.01971,0.030789,0.050667,0.079148,22,13.67,80.01
263,2022,3,0.01388,0.088152,0.020309,0.128987,8,10.76,39.68
263,2022,4,0.024329,0.028452,0.065647,0.076774,20,16.78,92.47
263,2023,1,0.012722,0.107067,0.014612,0.122979,7,6.49,34.47
263,2023,2,0.022996,0.030642,0.058963,0.078567,24,16.09,86.63
263,2023,3,0.016882,0.107383,0.020535,0.130621,8,9.94,39.65
263,2023,4,0.029384,0.036197,0.068909,0.084884,22,16.96,90.1
263,2024,1,0.017075,0.111572,0.02598,0.16976,7,12.12,39.12
263,2024,2,0.022542,0.035055,0.0569,0.088486,20,19.26,80.19
263,2024,3,0.016379,0.105992,0.032243,0.208657,5,12.36,39.31
263,2024,4,0.020762,0.031349,0.048795,0.073678,19,17.21,81.38
263,2025,1,0.011054,0.106546,0.014868,0.143309,7,7.76,32.21
263,2025,2,0.018347,0.027366,0.057768,0.086165,22,20.52,81.88
263,2025,3,0.018399,0.118887,0.041674,0.269278,5,15.7,39.34
263,2025,4,0.029954,0.036524,0.090986,0.110944,18,23.12,90.56
263,2026,1,0.018997,0.107486,0.039375,0.222792,5,13.04,42.04
263,2026,2,0.022779,0.105847,0.077733,0.361208,4,25.22,46.39
308,2018,2,0.022338,0.033392,0.046281,0.069183,14,11.6,81.79
308,2018,4,0.02186,0.050033,0.039069,0.089418,13,16.56,66.1
308,2019,2,0.041333,0.059624,0.052765,0.076115,16,18.08,83.26
308,2019,4,0.03172,0.037804,0.061811,0.073667,16,14.22,91.6
308,2020,1,0.008351,0.101102,0.010104,0.12233,7,5.73,28.74
308,2020,2,0.024717,0.02992,0.067236,0.08139,14,18.36,90.89
308,2020,3,0.019127,0.109156,0.026579,0.151683,7,12.11,41.86
308,2020,4,0.022083,0.025831,0.079438,0.092922,22,23.52,92.46
308,2021,1,0.017741,0.114691,0.024216,0.156548,7,11.5,39.33
