fund_code,report_date,stock_code,stock_name,hold_ratio,hold_shares,hold_value,year,quarter
320005,2020-12-31,2353,杰瑞股份,0.35,15.07,527.45,2020,4
320005,2020-12-31,2459,晶澳科技,1.44,53.74,"2,188.29",2020,4
320005,2020-12-31,2475,立讯精密,7.69,207.95,"11,669.92",2020,4
320005,2020-12-31,2605,姚记科技,2.50,154.37,"3,788.34",2020,4
320005,2020-12-31,2607,中公教育,0.54,23.46,824.08,2020,4
320005,2020-12-31,2624,完美世界,1.57,80.90,"2,386.69",2020,4
320005,2020-12-31,2641,公元股份,1.48,352.96,"2,251.88",2020,4
320005,2020-12-31,2677,浙江美大,2.03,193.86,"3,088.15",2020,4
320005,2020-12-31,2810,山东赫达,0.61,26.79,921.66,2020,4
320005,2020-12-31,2847,盐津铺子,0.24,3.29,362.62,2020,4
320005,2020-12-31,2867,周大生,0.91,51.95,"1,384.47",2020,4
320005,2020-12-31,2938,鹏鼎控股,0.55,16.70,829.49,2020,4
320005,2020-12-31,300363,博腾股份,0.57,23.82,869.91,2020,4
320005,2020-12-31,300383,光环新网,0.30,26.67,457.92,2020,4
320005,2020-12-31,300476,胜宏科技,0.28,19.63,423.48,2020,4
320005,2020-12-31,300482,万孚生物,0.81,13.81,"1,231.81",2020,4
320005,2020-12-31,300624,万兴科技,0.23,6.43,356.16,2020,4
320005,2020-12-31,300685,艾德生物,2.11,40.91,"3,201.12",2020,4
320005,2020-12-31,300725,药石科技,2.30,25.34,"3,496.71",2020,4
320005,2020-12-31,300860,锋尚文化,0.00,0.03,4.09,2020,4
320005,2020-12-31,300861,美畅股份,0.00,0.05,2.32,2020,4
320005,2020-12-31,300864,南大环境,0.00,0.02,1.51,2020,4
320005,2020-12-31,300866,安克创新,0.10,0.95,147.61,2020,4
320005,2020-12-31,300868,杰美特,0.00,0.06,2.57,2020,4
320005,2020-12-31,300869,康泰医学,0.01,0.09,9.56,2020,4
320005,2020-12-31,300870,欧陆通,0.00,0.05,3.14,2020,4
320005,2020-12-31,300872,天阳科技,0.00,0.09,3.30,2020,4
320005,2020-12-31,300873,海晨股份,0.00,0.05,2.00,2020,4
320005,2020-12-31,300876,蒙泰高新,0.00,0.04,1.28,2020,4
320005,2020-12-31,300877,金春股份,0.00,0.06,2.89,2020,4
320005,2020-12-31,300878,维康药业,0.00,0.04,1.95,2020,4
320005,2020-12-31,300879,大叶股份,0.00,0.05,1.26,2020,4
320005,2020-12-31,300881,盛德鑫泰,0.00,0.03,0.94,2020,4
320005,2020-12-31,300882,万胜智能,0.00,0.04,1.13,2020,4
320005,2020-12-31,300886,华业香料,0.00,0.01,0.67,2020,4
320005,2020-12-31,300887,谱尼测试,0.00,0.02,1.56,2020,4
320005,2020-12-31,300889,爱克股份,0.00,0.05,1.44,2020,4
320005,2020-12-31,300890,翔丰华,0.00,0.03,1.40,2020,4
320005,2020-12-31,300891,惠云钛业,0.00,0.11,1.87,2020,4
320005,2020-12-31,300892,品渥食品,0.00,0.03,1.63,2020,4
320005,2020-12-31,300893,松原股份,0.00,0.03,0.97,2020,4
320005,2020-12-31,300894,火星人,0.02,0.63,30.01,2020,4
320005,2020-12-31,300896,爱美客,0.02,0.05,28.54,2020,4
320005,2020-12-31,300900,广联航空,0.00,0.09,2.91,2020,4
320005,2020-12-31,300902,国安达,0.00,0.06,1.34,2020,4
320005,2020-12-31,300907,康平科技,0.00,0.05,1.27,2020,4
320005,2020-12-31,300908,仲景食品,0.00,0.03,1.72,2020,4
320005,2020-12-31,300909,汇创达,0.00,0.04,1.57,2020,4
320005,2020-12-31,300910,瑞丰新材,0.00,0.05,2.27,2020,4
320005,2020-12-31,300917,特发服务,0.00,0.03,0.90,2020,4
320005,2020-12-31,300918,南山智尚,0.00,0.11,0.95,2020,4
320005,2020-12-31,300919,中伟股份,0.00,0.06,3.75,2020,4
320005,2020-12-31,300922,天秦装备,0.00,0.03,0.91,2020,4
320005,2020-12-31,300925,法本信息,0.00,0.04,1.32,2020,4
320005,2020-12-31,300926,博俊科技,0.00,0.36,3.86,2020,4
320005,2020-12-31,300999,金龙鱼,0.04,0.74,65.24,2020,4
320005,2020-12-31,3023,彩虹集团,0.00,0.03,1.13,2020,4
320005,2020-12-31,3026,中晶科技,0.00,0.05,2.17,2020,4
320005,2020-12-31,3028,振邦智能,0.00,0.04,1.80,2020,4
