date,open,high,low,close,volume,index_code,index_name
2012-03-20,4898.374,4898.374,4784.893,4786.904,2388044800,sz399005,中小板指
2012-03-21,4803.86,4827.481,4712.878,4775.758,2340536320,sz399005,中小板指
2012-03-22,4770.119,4790.187,4732.286,4754.703,2038233600,sz399005,中小板指
2012-03-23,4741.458,4754.989,4672.82,4688.376,1986809472,sz399005,中小板指
2012-03-26,4680.413,4722.094,4671.504,4707.577,1638309888,sz399005,中小板指
2012-03-27,4723.073,4753.173,4677.104,4680.323,1817622272,sz399005,中小板指
2012-03-28,4663.963,4666.264,4482.967,4494.03,2248538624,sz399005,中小板指
2012-03-29,4473.071,4479.167,4381.477,4426.89,1925459712,sz399005,中小板指
2012-03-30,4424.747,4452.45,4375.152,4413.17,1664828416,sz399005,中小板指
2012-04-05,4412.57,4558.754,4397.947,4550.548,1921238016,sz399005,中小板指
2012-04-06,4547.282,4589.76,4526.113,4568.001,1809760000,sz399005,中小板指
2012-04-09,4556.404,4562.855,4507.771,4508.642,1610397696,sz399005,中小板指
2012-04-10,4490.648,4540.808,4402.807,4540.808,1853493632,sz399005,中小板指
2012-04-11,4490.913,4574.74,4473.538,4547.618,1928677760,sz399005,中小板指
2012-04-12,4548.042,4642.063,4541.527,4641.328,2395714304,sz399005,中小板指
2012-04-13,4651.826,4683.503,4630.823,4653.077,2450919936,sz399005,中小板指
2012-04-16,4631.504,4669.975,4614.588,4646.71,1933756800,sz399005,中小板指
2012-04-17,4644.882,4665.741,4607.932,4609.031,2036993024,sz399005,中小板指
2012-04-18,4619.509,4710.492,4614.327,4705.816,2471993088,sz399005,中小板指
2012-04-19,4703.733,4725.226,4672.774,4692.875,2214110464,sz399005,中小板指
2012-04-20,4689.649,4724.085,4673.481,4718.945,2449719552,sz399005,中小板指
2012-04-23,4716.216,4716.216,4620.825,4637.021,2658507776,sz399005,中小板指
2012-04-24,4608.119,4667.677,4508.223,4615.866,2756910080,sz399005,中小板指
2012-04-25,4598.522,4643.563,4588.187,4639.484,2431381248,sz399005,中小板指
2012-04-26,4642.378,4662.012,4614.865,4632.661,2402029312,sz399005,中小板指
2012-04-27,4621.8,4624.557,4586.527,4595.566,1830704256,sz399005,中小板指
2012-05-02,4647.045,4683.328,4608.576,4664.183,2185889536,sz399005,中小板指
2012-05-03,4655.385,4683.618,4647.0,4683.618,2167536640,sz399005,中小板指
2012-05-04,4684.534,4736.915,4680.433,4734.071,2321839360,sz399005,中小板指
2012-05-07,4717.813,4797.545,4714.72,4797.545,2442421504,sz399005,中小板指
2012-05-08,4801.761,4809.77,4750.445,4793.725,2459745280,sz399005,中小板指
2012-05-09,4760.204,4760.204,4705.489,4715.266,2337465344,sz399005,中小板指
2012-05-10,4717.333,4748.294,4706.143,4729.198,1916528128,sz399005,中小板指
2012-05-11,4717.991,4738.74,4690.069,4690.38,1973498496,sz399005,中小板指
2012-05-14,4719.894,4726.657,4656.578,4661.676,2016207488,sz399005,中小板指
2012-05-15,4628.22,4668.935,4606.796,4667.002,1954720640,sz399005,中小板指
2012-05-16,4659.568,4664.365,4589.911,4590.116,1649616512,sz399005,中小板指
2012-05-17,4592.064,4654.719,4586.865,4644.173,1776498816,sz399005,中小板指
2012-05-18,4617.672,4637.67,4564.897,4578.216,1783367424,sz399005,中小板指
2012-05-21,4570.55,4623.674,4545.012,4599.033,1568753280,sz399005,中小板指
2012-05-22,4618.635,4659.647,4618.635,4659.647,1576998400,sz399005,中小板指
2012-05-23,4654.811,4670.753,4610.54,4644.541,1776643328,sz399005,中小板指
2012-05-24,4636.384,4654.952,4572.736,4590.736,1861478144,sz399005,中小板指
2012-05-25,4588.288,4596.611,4507.705,4523.627,1817854208,sz399005,中小板指
2012-05-28,4505.256,4588.632,4456.679,4588.632,2037011200,sz399005,中小板指
2012-05-29,4591.687,4670.062,4584.165,4659.941,2561742592,sz399005,中小板指
2012-05-30,4653.522,4683.911,4645.863,4671.344,2379408384,sz399005,中小板指
2012-05-31,4645.063,4716.265,4632.77,4704.385,2387667200,sz399005,中小板指
2012-06-01,4701.852,4725.214,4667.981,4685.314,1979892992,sz399005,中小板指
2012-06-04,4624.339,4664.211,4572.316,4572.316,2220664832,sz399005,中小板指
2012-06-05,4575.495,4597.075,4551.228,4571.436,1723399424,sz399005,中小板指
2012-06-06,4578.324,4591.976,4551.353,4571.78,1501685120,sz399005,中小板指
2012-06-07,4608.91,4619.277,4528.543,4535.86,1687486464,sz399005,中小板指
