fund_code,year,quarter,report_date,AS_improved,ICI,industry_hhi,ICI_raw,industry_hhi_raw,ISDI
263,2023,1,2023-04-01,0.6493962841047349,0.122979,0.107067,0.014612,0.012722,0.3172114657874912
263,2023,2,2023-07-01,0.8523786604776743,0.078567,0.030642,0.058963,0.022996,0.1237074224446769
263,2023,3,2023-10-01,0.6721028975482923,0.130621,0.107383,0.020535,0.016882,0.170741535474534
263,2023,4,2024-01-01,0.8721353955899263,0.084884,0.036197,0.068909,0.029384,0.2018634192357378
263,2024,1,2024-04-01,0.6714695978266303,0.16976,0.111572,0.02598,0.017075,0.3607212163717205
263,2024,2,2024-07-01,0.8238787404790078,0.088486,0.035055,0.0569,0.022542,0.2943125108542058
263,2024,3,2024-10-01,0.6641227928798812,0.208657,0.105992,0.032243,0.016379,0.0752624244714657
263,2024,4,2025-01-01,0.8175318455307587,0.073678,0.031349,0.048795,0.020762,0.2139605416336698
263,2025,1,2025-04-01,0.6290528000466673,0.143309,0.106546,0.014868,0.011054,0.2200390058208109
263,2025,2,2025-07-01,0.83134870081168,0.086165,0.027366,0.057768,0.018347,0.0801912583016894
263,2025,3,2025-10-01,0.6649694711578525,0.269278,0.118887,0.041674,0.018399,0.2327796775769418
263,2025,4,2026-01-01,0.8745753629227153,0.110944,0.036524,0.090986,0.029954,0.2007508833922262
263,2026,1,2026-04-01,0.6650925815430255,0.222792,0.107486,0.039375,0.018997,0.0908761384916938
263,2026,2,2026-07-01,0.6819658335972265,0.361208,0.105847,0.077733,0.022779,0.124349591403213
308,2020,1,2020-04-01,0.6373265604426741,0.12233,0.101102,0.010104,0.008351,0.6638226168661665
308,2020,2,2020-07-01,0.9266727153785896,0.08139,0.02992,0.067236,0.024717,0.52614962851315
308,2020,3,2020-10-01,0.6951530975516258,0.151683,0.109156,0.026579,0.019127,0.6850348128768771
308,2020,4,2021-01-01,0.882915588593143,0.092922,0.025831,0.079438,0.022083,0.2403795641952683
308,2021,1,2021-04-01,0.6863398281638027,0.156548,0.114691,0.024216,0.017741,0.0118894467403637
308,2021,2,2021-07-01,0.9114692911548525,0.1368,0.037118,0.106251,0.02883,0.2313348034935214
308,2021,3,2021-10-01,0.6599130385506424,0.169157,0.115009,0.021342,0.01451,0.1477080592449933
308,2021,4,2022-01-01,0.9057894131568858,0.058169,0.030692,0.045251,0.023876,0.1487957345100201
308,2022,1,2022-04-01,0.7136997208286804,0.090003,0.110844,0.019119,0.023546,0.1940892043517341
308,2022,2,2022-07-01,0.897869465324422,0.067704,0.040557,0.04578,0.027424,0.2518140527734085
308,2022,3,2022-10-01,0.6881831455524259,0.218221,0.124376,0.034724,0.019791,0.7080416054767174
308,2022,4,2023-01-01,0.8898259179319654,0.053962,0.029159,0.039383,0.021281,0.457124586467403
308,2023,1,2023-04-01,0.7125030108835146,0.097186,0.10501,0.020897,0.022579,0.0820645969869507
308,2023,2,2023-07-01,0.9017294721578692,0.050871,0.035894,0.038628,0.027256,0.3235944983344146
308,2023,3,2023-10-01,0.7259231595526592,0.178718,0.110852,0.039934,0.024769,0.3570278981288133
308,2023,4,2024-01-01,0.8893528825480425,0.072797,0.040803,0.053366,0.029912,0.3014904858781652
