fund_code,year,quarter,report_date
1075,2021,4,2022-01-01
1075,2022,1,2022-04-01
1075,2022,2,2022-07-01
1075,2022,3,2022-10-01
1075,2022,4,2023-01-01
1075,2023,1,2023-04-01
1075,2023,2,2023-07-01
1075,2023,3,2023-10-01
1075,2023,4,2024-01-01
1075,2024,1,2024-04-01
1075,2024,2,2024-07-01
1075,2024,3,2024-10-01
1075,2024,4,2025-01-01
1075,2025,1,2025-04-01
1075,2025,2,2025-07-01
1075,2025,3,2025-10-01
1075,2025,4,2026-01-01
1075,2026,1,2026-04-01
1075,2026,2,2026-07-01
1076,2020,1,2020-04-01
1076,2020,2,2020-07-01
1076,2020,3,2020-10-01
1076,2020,4,2021-01-01
1076,2021,1,2021-04-01
1076,2021,2,2021-07-01
1076,2021,3,2021-10-01
1076,2021,4,2022-01-01
1076,2022,1,2022-04-01
1076,2022,2,2022-07-01
1076,2022,3,2022-10-01
1076,2022,4,2023-01-01
1076,2023,1,2023-04-01
1076,2023,2,2023-07-01
1076,2023,3,2023-10-01
1076,2023,4,2024-01-01
1076,2024,1,2024-04-01
1076,2024,2,2024-07-01
1076,2024,3,2024-10-01
1076,2024,4,2025-01-01
1076,2025,1,2025-04-01
1076,2025,2,2025-07-01
1076,2025,3,2025-10-01
1076,2025,4,2026-01-01
1076,2026,1,2026-04-01
1076,2026,2,2026-07-01
1088,2020,1,2020-04-01
1088,2020,2,2020-07-01
1088,2020,3,2020-10-01
1088,2020,4,2021-01-01
1088,2021,1,2021-04-01
1088,2021,2,2021-07-01
1088,2021,3,2021-10-01
1088,2021,4,2022-01-01
1088,2022,1,2022-04-01
1088,2022,2,2022-07-01
1088,2022,3,2022-10-01
1088,2022,4,2023-01-01
1088,2023,1,2023-04-01
1088,2023,2,2023-07-01
1088,2023,3,2023-10-01
1088,2023,4,2024-01-01
1088,2024,1,2024-04-01
1088,2024,2,2024-07-01
1088,2024,3,2024-10-01
1088,2024,4,2025-01-01
1088,2025,1,2025-04-01
1088,2025,2,2025-07-01
1088,2025,3,2025-10-01
1088,2025,4,2026-01-01
1088,2026,1,2026-04-01
1088,2026,2,2026-07-01
1170,2015,2,2015-07-01
1170,2015,3,2015-10-01
1170,2015,4,2016-01-01
1170,2016,1,2016-04-01
1170,2016,2,2016-07-01
1170,2016,3,2016-10-01
1170,2016,4,2017-01-01
1170,2017,1,2017-04-01
1170,2017,2,2017-07-01
1170,2017,3,2017-10-01
1170,2017,4,2018-01-01
1170,2018,1,2018-04-01
1170,2018,2,2018-07-01
1170,2018,3,2018-10-01
1170,2018,4,2019-01-01
1170,2019,1,2019-04-01
1170,2019,2,2019-07-01
1170,2019,3,2019-10-01
1170,2019,4,2020-01-01
1170,2020,1,2020-04-01
1170,2020,2,2020-07-01
1170,2020,3,2020-10-01
1170,2020,4,2021-01-01
1170,2021,1,2021-04-01
1170,2021,2,2021-07-01
1170,2021,3,2021-10-01
1170,2021,4,2022-01-01
1170,2022,1,2022-04-01
1170,2022,2,2022-07-01
1170,2022,3,2022-10-01
1170,2022,4,2023-01-01
1170,2023,1,2023-04-01
1170,2023,2,2023-07-01
1170,2023,3,2023-10-01
1170,2023,4,2024-01-01
1170,2024,1,2024-04-01
1170,2024,2,2024-07-01
1170,2024,3,2024-10-01
1170,2024,4,2025-01-01
1170,2025,1,2025-04-01
1170,2025,2,2025-07-01
1170,2025,3,2025-10-01
1170,2025,4,2026-01-01
1170,2026,1,2026-04-01
1170,2026,2,2026-07-01
1184,2015,2,2015-07-01
1184,2015,3,2015-10-01
1184,2015,4,2016-01-01
1184,2016,1,2016-04-01
1184,2016,2,2016-07-01
1184,2016,3,2016-10-01
1184,2016,4,2017-01-01
1184,2017,1,2017-04-01
1184,2017,2,2017-07-01
1184,2017,3,2017-10-01
1184,2017,4,2018-01-01
1184,2018,1,2018-04-01
1184,2018,2,2018-07-01
1184,2018,3,2018-10-01
1184,2018,4,2019-01-01
1184,2019,1,2019-04-01
1184,2019,2,2019-07-01
1184,2019,3,2019-10-01
1184,2019,4,2020-01-01
1184,2020,1,2020-04-01
1184,2020,2,2020-07-01
1184,2020,3,2020-10-01
1184,2020,4,2021-01-01
1184,2021,1,2021-04-01
1184,2021,2,2021-07-01
1184,2021,3,2021-10-01
1184,2021,4,2022-01-01
1184,2022,1,2022-04-01
1184,2022,2,2022-07-01
1184,2022,3,2022-10-01
1184,2022,4,2023-01-01
1184,2023,1,2023-04-01
1184,2023,2,2023-07-01
1184,2023,3,2023-10-01
1184,2023,4,2024-01-01
1184,2024,1,2024-04-01
1184,2024,2,2024-07-01
1184,2024,3,2024-10-01
1184,2024,4,2025-01-01
1184,2025,1,2025-04-01
1184,2025,2,2025-07-01
1184,2025,3,2025-10-01
1184,2025,4,2026-01-01
1184,2026,1,2026-04-01
1184,2026,2,2026-07-01
1194,2015,2,2015-07-01
1194,2015,3,2015-10-01
1194,2015,4,2016-01-01
1194,2016,1,2016-04-01
1194,2016,2,2016-07-01
1194,2016,3,2016-10-01
1194,2016,4,2017-01-01
1194,2017,1,2017-04-01
1194,2017,2,2017-07-01
1194,2017,3,2017-10-01
1194,2017,4,2018-01-01
1194,2018,1,2018-04-01
1194,2018,2,2018-07-01
1194,2018,3,2018-10-01
1194,2018,4,2019-01-01
1194,2019,1,2019-04-01
1194,2019,2,2019-07-01
1194,2019,3,2019-10-01
1194,2019,4,2020-01-01
1194,2020,1,2020-04-01
1194,2020,2,2020-07-01
1194,2020,3,2020-10-01
1194,2020,4,2021-01-01
1194,2021,1,2021-04-01
1194,2021,2,2021-07-01
1194,2021,3,2021-10-01
1194,2021,4,2022-01-01
1194,2022,1,2022-04-01
1194,2022,2,2022-07-01
1194,2022,3,2022-10-01
1194,2022,4,2023-01-01
1194,2023,1,2023-04-01
1194,2023,2,2023-07-01
1194,2023,3,2023-10-01
