fund_code,n_reports,n_stocks,year_min,year_max,median_stocks_per_report,max_stocks_per_report,has_full_report,n_full_reports,in_panel,is_distressed,is_ifind_sample
007895,27,1340,2019,2026,12,211,True,9,True,False,False
008185,24,1081,2020,2026,17,105,True,9,True,False,False
008208,26,1334,2020,2026,10,134,True,12,True,False,False
008467,26,1338,2020,2026,11,130,True,12,True,False,False
008528,25,1111,2020,2026,14,100,True,10,True,False,False
008555,24,903,2020,2026,17,104,True,7,True,False,False
008734,26,1191,2020,2026,16,106,True,12,True,False,False
008988,25,1103,2020,2026,11,102,True,10,True,False,False
008989,25,1116,2020,2026,14,103,True,10,True,False,False
009049,26,1238,2020,2026,16,100,True,11,True,False,False
009062,25,981,2020,2026,11,100,True,10,True,False,False
009063,25,1003,2020,2026,18,108,True,10,True,False,False
009242,24,570,2020,2026,14,59,True,2,True,False,False
009243,24,565,2020,2026,13,57,True,2,True,False,False
009707,23,1140,2020,2026,12,100,True,11,True,False,False
009708,23,1138,2020,2026,11,100,True,11,True,False,False
009808,24,1112,2020,2026,15,100,True,11,True,False,False
009855,23,669,2020,2026,10,100,True,5,True,False,False
009856,23,669,2020,2026,10,100,True,5,True,False,False
009913,23,769,2020,2026,16,106,True,7,True,False,False
009993,23,1052,2020,2026,11,100,True,10,True,False,False
010115,22,904,2021,2026,15,100,True,9,True,False,False
010237,23,750,2020,2026,17,104,True,6,True,False,False
010238,23,736,2020,2026,17,100,True,6,True,False,False
010335,22,795,2021,2026,11,100,True,7,True,False,False
010389,23,1031,2020,2026,11,100,True,10,True,False,False
010390,22,1054,2021,2026,14,102,True,10,True,False,False
010415,21,788,2021,2026,12,103,True,8,True,False,False
010416,21,785,2021,2026,11,100,True,7,True,False,False
010912,21,787,2021,2026,12,100,True,6,True,False,False
010913,21,797,2021,2026,14,100,True,6,True,False,False
011120,23,913,2020,2026,10,100,True,8,True,False,False
011300,22,1045,2021,2026,14,100,True,10,True,False,False
011301,22,1037,2021,2026,12,100,True,10,True,False,False
011369,21,897,2021,2026,14,100,True,7,True,False,False
011370,21,892,2021,2026,10,100,True,7,True,False,False
011399,21,929,2021,2026,13,100,True,9,True,False,False
011400,21,930,2021,2026,13,101,True,9,True,False,False
011412,21,882,2021,2026,15,101,True,9,True,False,False
011452,22,1026,2021,2026,17,107,True,9,True,False,False
011488,21,450,2021,2026,13,86,True,1,True,False,False
011822,20,915,2021,2026,15,100,True,9,True,False,False
011823,20,908,2021,2026,13,102,True,9,True,False,False
011891,19,721,2021,2026,14,100,True,6,True,False,False
011892,19,724,2021,2026,15,100,True,6,True,False,False
012301,19,847,2021,2026,13,100,True,8,True,False,False
012456,19,950,2021,2026,17,100,True,9,True,False,False
012457,19,941,2021,2026,11,102,True,9,True,False,False
013107,18,630,2022,2026,10,100,True,7,True,False,False
013108,18,630,2022,2026,10,100,True,7,True,False,False
013238,18,507,2022,2026,14,72,True,5,True,False,False
013239,18,487,2022,2026,11,72,True,4,True,False,False
013312,20,856,2021,2026,10,100,True,9,True,False,False
013369,17,665,2022,2026,13,100,True,6,True,False,False
013370,17,671,2022,2026,13,100,True,6,True,False,False
