fund_code,year,quarter,report_date,de,pgr,plr,gains_sold,gains_held,losses_sold,losses_held,lsv,risk_asym,n_gain,n_loss
4232,2023,4,2024-01-01,0.13153846153846155,0.42,0.28846153846153844,21.0,29.0,30.0,74.0,0.10652333610309761,-0.002740204666257944,2.0,6.0
4232,2024,1,2024-04-01,,,,,,,,0.176635303981934,0.00037438906588634427,2.0,6.0
4232,2024,2,2024-07-01,-0.3270969098171116,0.19402985074626866,0.5211267605633803,13.0,54.0,74.0,68.0,0.08961645862921394,0.0033049571111277466,2.0,6.0
4232,2024,3,2024-10-01,,,,,,,,0.12968654469284618,0.00889920458038955,3.0,5.0
4232,2024,4,2025-01-01,-0.15185185185185185,0.34814814814814815,0.5,47.0,88.0,22.0,22.0,0.09655738738298192,-0.013253462389746347,2.0,6.0
4232,2025,1,2025-04-01,,,,,,,,0.09008588507423881,-0.00251689417195735,2.0,6.0
4232,2025,2,2025-07-01,-0.06962806275339328,0.9139784946236559,0.9836065573770492,85.0,8.0,60.0,1.0,0.06946817203297821,0.005795572292805414,3.0,5.0
4232,2025,3,2025-10-01,,,,,,,,0.18847228947882605,0.06506240034424951,4.0,4.0
4232,2025,4,2026-01-01,-0.1714975845410628,0.717391304347826,0.8888888888888888,33.0,13.0,24.0,3.0,0.10185095020117595,0.06388916172322949,5.0,3.0
4232,2026,1,2026-04-01,,,,,,,,0.05459053485085781,0.06929987510248527,6.0,2.0
4232,2026,2,2026-07-01,-0.02840909090909094,0.9090909090909091,0.9375,30.0,3.0,45.0,3.0,0.13566381903565453,0.07373264981189973,6.0,2.0
4320,2017,2,2017-07-01,,,,,,,,,,,
4320,2017,3,2017-10-01,,,,,,,,,,,
4320,2017,4,2018-01-01,,,,,,,,0.12149003359794942,,,
4320,2018,1,2018-04-01,,,,,,,,0.0583618123412832,,,
4320,2018,2,2018-07-01,0.02631578947368418,1.0,0.9736842105263158,18.0,0.0,37.0,1.0,0.16477066662007628,0.0021386140894134207,3.0,2.0
4320,2018,3,2018-10-01,,,,,,,,0.12405110242427825,0.0024972136344531574,3.0,3.0
4320,2018,4,2019-01-01,,,1.0,0.0,0.0,1.0,0.0,0.02197156552430687,-0.019914554301395382,3.0,4.0
4320,2019,1,2019-04-01,,,,,,,,0.3310536979830294,0.016897653526447613,4.0,4.0
4320,2019,2,2019-07-01,0.6666666666666666,0.6666666666666666,0.0,4.0,2.0,0.0,1.0,0.01186925363945047,0.021901657619589746,3.0,5.0
4320,2019,3,2019-10-01,,,,,,,,0.02554104117121186,0.03204916271941373,2.0,6.0
4320,2019,4,2020-01-01,-0.368421052631579,0.631578947368421,1.0,12.0,7.0,11.0,0.0,0.07998032408212731,0.014036556748026625,2.0,6.0
4320,2020,1,2020-04-01,,,,,,,,0.016475847406670636,0.020739634145106295,3.0,5.0
4320,2020,2,2020-07-01,0.1607142857142857,0.875,0.7142857142857143,21.0,3.0,5.0,2.0,0.0821800358664526,0.013267026742240808,4.0,4.0
4320,2020,3,2020-10-01,,,,,,,,0.07544044305439714,0.02315361853323564,5.0,3.0
4320,2020,4,2021-01-01,-0.23529411764705888,0.7647058823529411,1.0,13.0,4.0,8.0,0.0,0.04528472739472135,0.043623842950751286,6.0,2.0
4320,2021,1,2021-04-01,,,,,,,,0.012127888856360057,0.035980027996338995,5.0,3.0
4320,2021,2,2021-07-01,-0.55,0.45,1.0,9.0,11.0,15.0,0.0,0.11948071151194495,0.0444061089991091,6.0,2.0
4320,2021,3,2021-10-01,,,,,,,,0.010244471950871557,-0.031119691802853615,6.0,2.0
4320,2021,4,2022-01-01,0.052631578947368474,1.0,0.9473684210526315,7.0,0.0,18.0,1.0,0.029767047352431256,-0.03649695350277114,6.0,2.0
4320,2022,1,2022-04-01,,,,,,,,0.08242042602988002,-0.048457683080570725,5.0,3.0
4320,2022,2,2022-07-01,-0.00840336134453784,0.2857142857142857,0.29411764705882354,2.0,5.0,5.0,12.0,0.07478729563030084,-0.04018328824680588,5.0,3.0
4320,2022,3,2022-10-01,,,,,,,,0.05925577580225842,-0.03637801599440036,4.0,4.0
4320,2022,4,2023-01-01,0.19999999999999996,1.0,0.8,6.0,0.0,12.0,3.0,0.03649158145001254,-0.0248342030111129,4.0,4.0
4320,2023,1,2023-04-01,,,,,,,,0.0566909055451104,0.03326832338549518,5.0,3.0
4320,2023,2,2023-07-01,-0.2941176470588235,0.7058823529411765,1.0,12.0,5.0,4.0,0.0,0.04457192113955032,0.0490151892227753,5.0,3.0
4320,2023,3,2023-10-01,,,,,,,,0.1481676195916314,0.06146999277609092,5.0,3.0
4320,2023,4,2024-01-01,0.06666666666666665,1.0,0.9333333333333333,3.0,0.0,14.0,1.0,0.04811684421683285,0.05464590778905545,4.0,4.0
4320,2024,1,2024-04-01,,,,,,,,0.05512769128227925,0.059463204062078515,4.0,4.0
4320,2024,2,2024-07-01,-0.33333333333333337,0.6,0.9333333333333333,3.0,2.0,14.0,1.0,0.11805915216119699,0.058542350658994935,4.0,4.0
4320,2024,3,2024-10-01,,,,,,,,0.08296244092502504,0.03934356860472889,5.0,3.0
4320,2024,4,2025-01-01,-0.0357142857142857,0.7142857142857143,0.75,10.0,4.0,3.0,1.0,0.13157333091373458,0.035766872452113976,5.0,3.0
4320,2025,1,2025-04-01,,,,,,,,0.011638678425288698,-0.025901300428925314,4.0,4.0
4320,2025,2,2025-07-01,-0.3529411764705882,0.6470588235294118,1.0,11.0,6.0,5.0,0.0,0.09690535132726709,-0.05541909994148334,4.0,4.0
4320,2025,3,2025-10-01,,,,,,,,0.10656371848156093,0.13003316395600495,5.0,3.0
4320,2025,4,2026-01-01,-0.3076923076923077,0.6923076923076923,1.0,9.0,4.0,4.0,0.0,0.10172079852542402,0.11761419919834082,6.0,2.0
4320,2026,1,2026-04-01,,,,,,,,0.13563723373732064,,,
4320,2026,2,2026-07-01,,0.5833333333333334,,7.0,5.0,0.0,0.0,0.08875633327409697,,,
4374,2020,1,2020-04-01,,,,,,,,0.054397672119773165,,,
4374,2020,2,2020-07-01,-0.12121212121212122,0.8787878787878788,1.0,29.0,4.0,9.0,0.0,0.21398207889887422,,,
4374,2020,3,2020-10-01,,,,,,,,0.12010243044088746,,,
4374,2020,4,2021-01-01,0.2345454545454546,0.9545454545454546,0.72,21.0,1.0,18.0,7.0,0.10431338791116399,,,
4374,2021,1,2021-04-01,,,,,,,,0.0465506041037707,,,
4374,2021,2,2021-07-01,-0.08664546899841019,0.6486486486486487,0.7352941176470589,24.0,13.0,25.0,9.0,0.08066670286799503,,,
4374,2021,3,2021-10-01,,,,,,,,0.14026341660450883,,,
4374,2021,4,2022-01-01,0.008333333333333304,0.875,0.8666666666666667,42.0,6.0,26.0,4.0,0.05934730542254129,,,
4374,2022,1,2022-04-01,,,,,,,,0.16870056029106417,-0.008806387010614022,6.0,2.0
4374,2022,2,2022-07-01,-0.11148272017837235,0.4782608695652174,0.5897435897435898,11.0,12.0,46.0,32.0,0.1329985776062032,-0.05271650678521022,6.0,2.0
4374,2022,3,2022-10-01,,,,,,,,-0.054296853559948954,-0.0339215394564135,5.0,3.0
4374,2022,4,2023-01-01,-0.05707196029776673,0.8461538461538461,0.9032258064516129,22.0,4.0,84.0,9.0,0.16770594563091576,-0.04632177017408089,4.0,4.0
4374,2023,1,2023-04-01,,,,,,,,0.03745714500932457,-0.004253054583047453,5.0,3.0
4374,2023,2,2023-07-01,-0.17493796526054584,0.7096774193548387,0.8846153846153846,44.0,18.0,23.0,3.0,0.08468364167022514,0.008692329790138578,5.0,3.0
4374,2023,3,2023-10-01,,,,,,,,-0.013018951585884257,0.0047228633480658755,4.0,4.0
4374,2023,4,2024-01-01,-0.08656482569526047,0.5945945945945946,0.6811594202898551,22.0,15.0,47.0,22.0,0.13299654974606792,0.004778702365167982,4.0,4.0
