fund_code,year,quarter,report_date,ARG,return_volatility
1407,2025,1,2025-04-01,0.15705255106876762,0.07527201551521155
1407,2025,2,2025-07-01,0.044541051381792596,0.07744016356117643
1407,2025,3,2025-10-01,0.0472608429237252,0.2938899594427513
1407,2025,4,2026-01-01,0.24183371273535198,0.28730895497554493
1407,2026,1,2026-04-01,0.26215169216183004,0.2860978305227724
1407,2026,2,2026-07-01,0.3047185952745208,0.358838003955408
1411,2015,2,2015-07-01,,
1411,2015,3,2015-10-01,,
1411,2015,4,2016-01-01,0.0,0.007014081248282645
1411,2016,1,2016-04-01,0.2922602982539594,0.0057349516956217645
1411,2016,2,2016-07-01,0.1424295590152544,0.00594487827805947
1411,2016,3,2016-10-01,0.10071543284017467,0.00531747938610849
1411,2016,4,2017-01-01,0.14638955302935477,0.004916379212829096
1411,2017,1,2017-04-01,0.08227647999539331,0.015913253236797594
1411,2017,2,2017-07-01,0.07156193154127395,0.01612797886543007
1411,2017,3,2017-10-01,0.06072824807954799,0.016429592803461145
1411,2017,4,2018-01-01,0.08761147965523033,0.01607214807390173
1411,2018,1,2018-04-01,0.05496350819367381,0.016107633785989818
1411,2018,2,2018-07-01,0.15941139008811506,0.015817017559281506
1411,2018,3,2018-10-01,0.11516266857017632,0.015598479505875408
1411,2018,4,2019-01-01,0.13245166045639223,0.016142641626447983
1411,2019,1,2019-04-01,0.27550398003007726,0.015474392074590896
1411,2019,2,2019-07-01,0.11450178642220488,0.015813372342982725
1411,2019,3,2019-10-01,0.025102520785218362,0.018981914485811446
1411,2019,4,2020-01-01,0.10058519849958794,0.02135631141955355
1411,2020,1,2020-04-01,0.09468527284164156,0.022146867016244767
1411,2020,2,2020-07-01,0.24593720085600312,0.022557428567876053
1411,2020,3,2020-10-01,0.0817998007590127,0.03277727517206256
1411,2020,4,2021-01-01,0.1130614010816286,0.04458705956888502
1411,2021,1,2021-04-01,0.10348273453190554,0.04399165021021091
1411,2021,2,2021-07-01,0.08263184156580665,0.11526643656653998
1411,2021,3,2021-10-01,0.4761522031801221,0.1152440370447606
1411,2021,4,2022-01-01,0.17211129476568934,0.11535426562670356
1411,2022,1,2022-04-01,0.3590200819000419,0.15752606385812962
