fund_code,report_date,fund_ret_6m,bench_ret_6m,benchmark_adj_return,coverage,equity_weight,matched_weight,rf_approx_weight,missing_weight,n_components,panel_date
1723,2018-12-31,0.2913310038617575,0.14888344818972823,0.14244755567202924,full,0.7,0.7,0.3,0.0,2,2019-01-01
1753,2018-12-31,0.2913310038617575,0.16613634241030714,0.12519466145145033,full,0.6,0.6,0.4,0.0,2,2019-01-01
1759,2018-12-31,0.2913310038617575,0.22920395685180697,0.0621270470099505,partial,0.85,0.85,0.0,0.15,2,2019-01-01
1811,2018-12-31,0.2913310038617575,0.20534135685779603,0.08598964700396144,partial_rf,0.6,0.6,0.2,0.2,3,2019-01-01
2244,2018-12-31,0.2913310038617575,0.009316284620351611,0.28201471924140586,partial_rf,0.0,0.0,0.5,0.5,2,2019-01-01
2692,2018-12-31,0.2913310038617575,0.009316284620351611,0.28201471924140586,partial_rf,0.0,0.0,0.4,0.6,2,2019-01-01
2910,2018-12-31,0.2913310038617575,0.22920395685180697,0.0621270470099505,partial,0.85,0.85,0.0,0.15,2,2019-01-01
3857,2018-12-31,0.2913310038617575,0.19227301870863306,0.09905798515312442,full,0.7,0.7,0.3,0.0,2,2019-01-01
3858,2018-12-31,0.2913310038617575,0.19227301870863306,0.09905798515312442,full,0.7,0.7,0.3,0.0,2,2019-01-01
3961,2018-12-31,0.2913310038617575,0.19622080601708866,0.09511019784466881,full,0.85,0.85,0.15,0.0,2,2019-01-01
3962,2018-12-31,0.2913310038617575,0.19622080601708866,0.09511019784466881,full,0.85,0.85,0.15,0.0,2,2019-01-01
4148,2018-12-31,0.2913310038617575,0.17920468055947011,0.11212632330228736,full,0.65,0.65,0.35,0.0,2,2019-01-01
4232,2018-12-31,0.2913310038617575,0.218409695006959,0.07292130885479847,full,0.8,0.8,0.2,0.0,2,2019-01-01
4374,2018-12-31,0.2913310038617575,0.20477199327053414,0.08655901059122334,partial_rf,0.8,0.8,0.1,0.1,3,2019-01-01
