fc,egarch_omega,egarch_alpha,egarch_gamma,egarch_beta,egarch_persistence,egarch_gamma_t,n_obs,fit_ok
6905,-0.38165294113930137,0.2537845005542685,-0.029758435909006908,0.9537752913748979,1.2075597919291665,-0.8009547713833544,1598.0,1
6969,-0.47044151715611804,0.26659507229488816,-0.020890584318284014,0.9403754451543902,1.2069705174492784,-0.683308856876233,1598.0,1
6976,-0.6910320169997393,0.385207301371034,-0.06820407296645307,0.9157789530286045,1.3009862543996384,-1.061144733475564,1579.0,1
7049,-0.03289121011185278,0.26008395174419724,-0.002904778662028702,0.9953895196180362,1.2554734713622335,-0.13416875564165373,1598.0,1
7113,-0.09417308339795324,0.1632663556081204,0.023400356941020876,0.9872561061605103,1.1505224617686307,1.4892551482249943,1586.0,1
7114,-0.09434772176627149,0.16345224888846083,0.02346894632175854,0.9872304830070799,1.1506827318955408,1.4952193494436552,1586.0,1
7305,-0.22039550717716944,0.1952206255946195,0.014099373716829107,0.9721513406676897,1.1673719662623092,0.703406542972219,1656.0,1
7340,-0.3892874445540492,0.20549986604728612,0.0009584608702598094,0.949795269413193,1.1552951354604792,0.033906958477030104,1598.0,1
7341,-0.3866337983653311,0.20463514656841866,0.000853163109430389,0.9501385106274002,1.154773657195819,0.03021771435083082,1598.0,1
7343,-0.17071997521208507,0.17361946257424432,0.011877844458950543,0.9777167640965034,1.1513362266707476,0.717603546622371,1598.0,1
7346,-0.20535413546308162,0.19687096984501942,0.014403935358379813,0.9735842033052319,1.1704551731502513,0.7615673302807038,1598.0,1
7349,-0.2651624528242335,0.20682040117638242,-0.003253556074116457,0.9663803425418747,1.173200743718257,-0.19807552586223717,1598.0,1
7350,-0.24974259284815561,0.2119471220598991,-0.015013236540755759,0.9684490274248998,1.180396149484799,-0.8409800000146039,1366.0,1
7353,-0.5692775998911141,0.2956927300006855,-0.05407494521041467,0.9295253935492708,1.2252181235499564,-1.1921112369866984,1218.0,1
7449,-0.5740875638261571,0.24394803972168747,-0.05098320664876994,0.9321005559933532,1.1760485957150406,-1.1550617275448882,1598.0,1
7450,-0.5751362010224108,0.24412521236108353,-0.051308349206322844,0.9319760579265938,1.1761012702876772,-1.1562791225682627,1598.0,1
7490,-0.24325186986264363,0.22079967309118848,0.02800885158862143,0.9673743196440725,1.188173992735261,1.5624638415096799,1598.0,1
7491,-0.2434565040742573,0.22058607067855704,0.0280480434551631,0.9673468801028597,1.1879329507814167,1.5965266626935315,1598.0,1
7639,-0.10146614908444059,0.30011346000562333,0.006052481025258534,0.9863558704280918,1.2864693304337151,0.16747921804358026,1112.0,1
7731,-0.3223389549605828,0.2608100099366137,-0.04318977462211451,0.9581735727792859,1.2189835827158997,-1.284921224012145,1599.0,1
7895,-0.7611907985250462,0.3029036626334226,-0.08261820039990903,0.9106591597013399,1.2135628223347625,-1.2360172180492963,1598.0,1
8185,-0.4173921818938108,0.30553775811395656,-0.004494411573946968,0.9464350249124971,1.2519727830264538,-0.18654336313820274,1488.0,1
8208,-0.8693942095438987,0.28931857761761515,-0.03892039573677635,0.8979453743898768,1.187263952007492,-0.8073141403444747,1560.0,1
8467,-0.9645079384559694,0.31237915051489173,-0.06341452903010587,0.8862054607953853,1.198584611310277,-0.7840411543005671,1554.0,1
8528,-0.0935645121443823,0.19557190111540734,0.04304129642453732,0.9870061245099483,1.1825780256253555,1.5176504508507653,1520.0,1
8555,-0.10496481930964595,0.20478472117383223,-0.024936631206091457,0.9861293817969626,1.1909141029707948,-0.9615720156110168,1469.0,1
8734,-0.21583691589621065,0.22638936027313017,0.009331984545227042,0.9733183796371199,1.19970773991025,0.4105201043061304,1545.0,1
8988,-0.10792755579224407,0.1845674979187091,0.02688313422026617,0.9858976928186362,1.1704651907373453,1.5003042169723166,1514.0,1
8989,-0.1075139929267378,0.18454841384384432,0.0267726920671123,0.9859492404575928,1.1704976543014372,1.4915627488665515,1514.0,1
9049,-0.331113692299252,0.3438729696667556,-0.034899282091098445,0.9594969621375771,1.3033699318043328,-0.8117413321899098,1540.0,1
9062,-0.25453257871915835,0.19064230016490025,0.02942681215968365,0.9658323498573406,1.1564746500222407,1.251327667882216,1498.0,1
9063,-0.2534954249068842,0.19014520191535025,0.029364505483417326,0.9659705282271209,1.1561157301424712,1.2557165671889887,1498.0,1
9242,-0.023497831270669765,0.20965740056666457,-0.01376316495282069,0.9962949675646561,1.2059523681313207,-0.6949149313078696,1450.0,1
9243,-0.023803128807573667,0.2103160053795748,-0.013810921119022995,0.9962576109571278,1.2065736163367027,-0.6929750753715429,1450.0,1
9707,-0.15405895225072383,0.28819079737493253,0.0216477000079799,0.9802302629363204,1.268421060311253,1.0064919300675783,1432.0,1
9708,-0.15497905540095547,0.2884623430857523,0.021800739023350703,0.9801211110398824,1.2685834541256347,1.0133872034151252,1432.0,1
9808,-0.17652083582420444,0.20292991859312018,0.000712802503397248,0.9769727588790185,1.1799026774721386,0.03906750327880883,1453.0,1
9855,-0.17477039483951257,0.23778153273280248,0.015047219741386134,0.9767089185031235,1.214490451235926,0.6757754115356427,1418.0,1
